Abundance,SAMEA728908,SAMEA728622,SAMEA728808,SAMEA728663,SAMEA728854,SAMEA728851,SAMEA728772,SAMEA728755,SAMEA728706,SAMEA728646,SAMEA728680,SAMEA728785,SAMEA728913,SAMEA728876,SAMEA728697,SAMEA728749,SAMEA728887,SAMEA728929,SAMEA728674,SAMEA728602,SAMEA728690,SAMEA728923,SAMEA728791,SAMEA728862,SAMEA728821,SAMEA728920,SAMEA728942,SAMEA728873,SAMEA728933,SAMEA728685,SAMEA728630,SAMEA728611,SAMEA728760,SAMEA728703,SAMEA728805,SAMEA728814,SAMEA728734,SAMEA728665,SAMEA728740,SAMEA728617,SAMEA728899,SAMEA728627,SAMEA728652,SAMEA728783,SAMEA728672,SAMEA728777,SAMEA728902,SAMEA728797,SAMEA728586,SAMEA728835,SAMEA728649,SAMEA728918,SAMEA728843,SAMEA728788,SAMEA728574,SAMEA728831,SAMEA728726,SAMEA728799,SAMEA728916,SAMEA728867,SAMEA728635,SAMEA728700,SAMEA728865,SAMEA728670,SAMEA728717,SAMEA728667,SAMEA728614,SAMEA728950,SAMEA728794,SAMEA728692,SAMEA728884,SAMEA728599,SAMEA728766,SAMEA728582,SAMEA728826,SAMEA728769,SAMEA728890,SAMEA728638,SAMEA728661,SAMEA728894,SAMEA728848,SAMEA728817,SAMEA728925,SAMEA728802,SAMEA728774,SAMEA728763,SAMEA728905,SAMEA728897,SAMEA728589,SAMEA728723,SAMEA728745,SAMEA728720,SAMEA728731,SAMEA728712,SAMEA728780,SAMEA728565,SAMEA728845,SAMEA728570,SAMEA728676,SAMEA728752,SAMEA728643,SAMEA728594,SAMEA728709,SAMEA728859,SAMEA728743,SAMEA728714,SAMEA728910,SAMEA728856,SAMEA728839,SAMEA728658,SAMEA728737,SAMEA728946,SAMEA728655,SAMEA728561,SAMEA728870,SAMEA728938,SAMEA728578,SAMEA728881,SAMEA728812,SAMEA728829,SAMEA728878,SAMEA728728,SAMEA728607,SAMEA728758
t__SGB25497,,,0.00673,0.00801,0,0.01082,0.00059,0,0,0,0.02332,0,0.01086,0,0,0.0059,0,0,0.05323,0.02421,0,0,0,0,0,0,0.04439,0.07066,0,0,0.16078,0,0,0,0,0,0,0.01112,0.00953,0,0,0.07036,0.02079,0,0,0.01494,0,0,0.00992,0.00405,0,0,0.03969,0,0.00734,0,0,0,0,0,0,0,0,0,0.06064,0.01024,0,0,0,0,0.21874,0.00249,0,0.03892,0.02207,0,0.05465,0.03203,0.01673,0,0,0.08419,0,0,0,0.00131,0,0,0,0.01663,0,0,0.07694,0,0.13857,0,0,0,0,0,0.00229,0.00198,0,0,0,0.01664,0.01357,0,0,0,0,0.0175,0,0,0,0,0,0,0.02761,0,0,0,0,0
t__SGB9202,,,0.0062,0,0,0.00163,0,0,0,0,0.02439,0,0,0,0.10154,0,0,0,0,0,0.08753,0.06701,0,0,0,0,0.00879,0,0,0,0.02729,0,0,0.01705,0,0.01781,0.00977,0,0,0,0,0.00184,0,0,0,0,0.03873,0,0.02533,0,0,0,0,0,0.00166,0,0,0,0,0.02585,0,0,0,0,0,0.0169,0,0.01659,0.00909,0,0,0,0.0007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00057,0.0613,0.00154,0,0,0,0,0,0,0,0,0.00576,0,0,0,0,0,0.00606,0.03971,0,0,0,0,0,0.00597,0,0,0.10681,0,0.06663,0.05461,0,0,0,0.00926,0,0
t__SGB4166,,,0.00614,0.01172,0,0,0.15356,0,0,0,0,0,0,0.1621,0.05783,0,0,0,0,0,0,0,0,0,0,0,0,0.02656,0.01073,0.00251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10543,0,0,0,0,0,0,0,0,0,0.00364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13899,0,0.03454,0,0.1655,0,0,0.11663,0,0,0.09528,0,0,0,0.0624,0,0,0,0,0,0,0,0,0,0.00638,0,0.00513,0.00076,0,0,0,0,0,0.01623,0.02605,0,0.01109,0,0
t__SGB14375,,,0.0048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB63342,,,0.00478,0,0,0,0,0,0,0,0,0,0.00469,0,0,0,0,0.00129,0.00273,0,0,0,0,0,0,0,0,0,0,0,0,0.00114,0,0,0,0,0.00306,0,0,0.00132,0,0.0027,0,0,0.00332,0.00173,0,0,0,0,0,0,0,0,0,0.00546,0.00227,0,0.00156,0,0.00063,0,0,0,0,0.00282,0.00351,0.00153,0.00055,0,0,0,0.00084,0.01024,0,0,0,0,0,0,0.00821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01079,0.00026,0,0.00328,0,0,0,0,0,0.00413,0,0,0,0,0
t__SGB5200,,,0.00414,0,0,0,0.00058,0,0.00077,0,0,0,0,0.00554,0,0,0.0626,0.00439,0,0,0,0.00405,0,0,0.16455,0,0.01471,0.00237,0,0,0,0.00429,0,0,0.00086,0.00276,0,0,0,0.00541,0.0493,0.01089,0,0.00198,0,0.00291,0.001,0,0,0,0.02142,0,0,0,0,0,0.00634,0.03268,0,0,0.00213,0,0,0,0.00144,0.00332,0,0.00113,0.0044,0.0012,0,0,0,0,0,0.00194,0,0,0,0,0,0.00795,0.00196,0.00181,0,0,0,0,0,0.00595,0,0,0.00198,0,0.00255,0,0,0,0,0,0,0,0,0.00541,0,0,0,0.00297,0,0,0.00256,0,0.00158,0,0,0.00798,0.05023,0,0.00478,0,0,0,0,0
t__SGB4761,,,0.00371,0.0023,0.00588,0,0,0,0,0,0.00022,0,0,0,0,0,0.0384,0,0,0.0065,0,0,0.02904,0,0,0,0.02937,0.0038,0.0109,0,0,0,0,0,0,0,0,0,0.02107,0.00547,0.00098,0,0,0.01268,0,0,0,0.04022,0,0,0.02763,0,0,0.00152,0,0,0.00112,0,0,0,0,0,0,0.00559,0,0,0,0,0,0,0,0,0,0,0.00879,0.00973,0.0061,0,0.0031,0.00152,0,0,0.00183,0.00066,0.02558,0.00748,0,0,0,0.00117,0,0,0,0.00951,0.01254,0,0.06937,0.94148,0,0,0,0,0.01881,0.00428,0,0,0,0.0268,0,0,0.02833,0,0,0,0,0,0.01985,0,0.00019,0.1878,0,0,0,0
t__SGB79822,,,0.00371,0,0,8e-05,0.0015,0,0,0,0.00136,0,0.00546,0.01136,0,0,0,0.00566,0,0,0,0.00087,0,0,0.01262,0,0.00118,0.00512,0,0.00024,0,0,0,0,0.00466,0,0.00029,0.00019,0,0,0.00707,0,0.01378,0,0.00046,0,0.00049,0.00186,0,0,0,0,0,0.0003,0,0,0.00474,0,0.00402,0,0.00137,0.00178,0,0,0,0,0,0.00075,0.00145,0,0,0,0,0,0.00021,0.00027,0,0,0.00075,0.00642,0,0.00241,0,0,0,0.00124,0,0,0,0.00038,8e-05,0,0,0.01341,0.00369,0,0,0,0,0,0.00085,0.02037,0,0,0.0001,0,0,0,0,0.00077,0.00015,0,0,0,0.00269,0.00274,0.02261,0,0.00131,0,0,0.0021,0,0
t__SGB72838,,,0.00326,0,0.00697,0.00763,0.00139,0,0,0,0,0,0,0,0,0.00344,0.00684,0,0,0,0,0.00142,0,0,0,0,0,0,0,0,0.01407,0,0,0,0.00469,0,0.00245,0,0,0,0.01869,0,0,0.07451,0,0.00503,0.02764,0,0,0,0,0,0,0.00277,0,0.00071,0,0,0.00447,0,0,0,0,0,0,0.01741,0,0,0,0,0,0,0.03189,0.00088,0.01954,0,0,0,0.0009,0,0.00596,0,0,0,0,0.03373,0,0,0,0,0,0,0,0.00053,0.00175,0,0,0,0,0,0,0.01469,0,0.00056,0.00252,0,0,0,0,0.00753,0.02251,0,0,0,0,0,0,0,0.00624,0.00808,0,0,0,0
t__SGB59836,,,0.00321,0,0.02682,0,0,0,0,0,0,0,0.01139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0067,0.00096,0,0.00031,0.02767,0,0,0,0,0,0.02159,0,0,0.01262,0.00915,0.00042,0,0,0,0,0,0,0,0,0,0,0,0,0.00034,0,0,0,0,0,0,0,0.01055,0,0,0,0,0,0,0.03416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02051,0,0.02456,0,0,0,0,0,0.00019,0,0,0.00572,0,0
