Abundance,1000IBD00059,1000IBD00654,1000IBD00598,1000IBD00646,1000IBD00702,1000IBD00540,1000IBD00510,1000IBD00395,1000IBD00435,1000IBD00594,1000IBD00275,1000IBD00631,1000IBD00286,1000IBD00357,1000IBD00723,1000IBD00310,1000IBD00641,1000IBD00545,1000IBD00192,1000IBD00082,1000IBD00726,1000IBD00711,1000IBD00255,1000IBD00097,1000IBD00419,1000IBD00479,1000IBD00064,1000IBD00671,1000IBD00652,1000IBD00629,1000IBD00625,1000IBD00607,1000IBD00253,1000IBD00111,1000IBD00105,1000IBD00409,1000IBD00550,1000IBD00050,1000IBD00125,1000IBD00018,1000IBD00126,1000IBD00150,1000IBD00114,1000IBD00600,1000IBD00509,1000IBD00374,1000IBD00548,1000IBD00103,1000IBD00408,1000IBD00508,1000IBD00666,1000IBD00326,1000IBD00234,1000IBD00494,1000IBD00534,1000IBD00701,1000IBD00538,1000IBD00204,1000IBD00624,1000IBD00495,1000IBD00033,1000IBD00343,1000IBD00273,1000IBD00215,1000IBD00385,1000IBD00627,1000IBD00328,1000IBD00147,1000IBD00063,1000IBD00311,1000IBD00281,1000IBD00342,1000IBD00030,1000IBD00194,1000IBD00614,1000IBD00010,1000IBD00185,1000IBD01332,1000IBD00161,1000IBD00514,1000IBD00364,1000IBD00304,1000IBD00173,1000IBD00287,1000IBD00339,1000IBD00027,1000IBD00423,1000IBD00676,1000IBD00264,1000IBD00224,1000IBD00200,1000IBD00202,1000IBD00106,1000IBD00107,1000IBD00278,1000IBD00536,1000IBD00664,1000IBD00036,1000IBD00225,1000IBD00195,1000IBD00474,1000IBD00016,1000IBD00296,1000IBD00068,1000IBD00626,1000IBD00469,1000IBD00072,1000IBD00032,1000IBD00583,1000IBD00442,1000IBD00014,1000IBD00345,1000IBD00265,1000IBD00145,1000IBD00128,1000IBD01329,1000IBD00119,1000IBD00458,1000IBD00308,1000IBD00141,1000IBD00219,1000IBD00156,1000IBD00633,1000IBD00098,1000IBD00604,1000IBD00054,1000IBD00621,1000IBD00703,1000IBD00112,1000IBD00329,1000IBD00006,1000IBD00569,1000IBD00421,1000IBD00655,1000IBD00410,1000IBD00295,1000IBD00188,1000IBD00492,1000IBD00386,1000IBD00416,1000IBD00077,1000IBD00644,1000IBD00630,1000IBD00069,1000IBD00649,1000IBD00681,1000IBD00567,1000IBD00663,1000IBD00566,1000IBD00334,1000IBD00044,1000IBD00039,1000IBD00505,1000IBD00688,1000IBD00686,1000IBD00293,1000IBD00512,1000IBD00367,1000IBD00363,1000IBD00643,1000IBD00040,1000IBD00229,1000IBD00066,1000IBD00187,1000IBD00100,1000IBD00571,1000IBD00043,1000IBD00401,1000IBD00580,1000IBD00692,1000IBD00535,1000IBD00679,1000IBD00485,1000IBD00695,1000IBD00301,1000IBD00669,1000IBD00596,1000IBD00205,1000IBD00684,1000IBD00041,1000IBD00390,1000IBD00690,1000IBD00360,1000IBD00637,1000IBD00486,1000IBD00559,1000IBD00248,1000IBD00605,1000IBD00448,1000IBD00228,1000IBD00713,1000IBD00123,1000IBD00042,1000IBD00035,1000IBD00108,1000IBD00398,1000IBD00109,1000IBD00277,1000IBD00086,1000IBD00477,1000IBD00331,1000IBD00155,1000IBD00332,1000IBD00028,1000IBD00581,1000IBD00309
s__Longicatena_caecimuris,,,0.03062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02274,0.06897,0,0,0,0,0,0,0,0.17873,0,0,0,0,0,0,0,0.88884,0,0,0,0,0,0,0,0.0048,0.25277,0,0,0,0,0,0,0,0,0.00336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50679,0.00276,0,0,0.03513,0,0,0,0,0.13501,0,0,0,0.08363,0,0,0,0,0,0.06468,1.06168,0.03577,0,0.42115,0,0,0,0,0,0,2.67645,0,0,0,0,0,0,0,0.46664,0,0,0,15.56731,0,0,0,0,0,0,0,0,0,0.12162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86641,1.02153,0,0,0,0,0,0,0,0.02322,0,0.45682,0,0,0.1679,0,0.14775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00957,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18606
s__GGB3363_SGB4447,,,0.02913,0.09896,0,0,0,0,0,0,0,0,0,0,0,0,0.41522,0,0,0,0,0.01734,0,0.00524,0,0.07091,0.13031,0,0,0,0,0.03476,0,0,0,0,0,0,0,0,0.20834,0,0,0,0,0,0,0,0,0,0.24195,0,0,0,0,0.57865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26744,0.1622,0,0,0,0,0,0.44386,0,0,0,0.17376,0,1.70748,0,0,0,0,0.1862,0,0,0,0,0,0.07054,0,0,0,0,0,0,0,0,0,0.22921,0,0,0.44442,0,0,0,0,0,0.03742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02902,0,0,0,0.10349,0,0,0,0.05783,0.07135,0,0.15045,0.16069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Isoptericola_variabilis,,,0.02832,0,0,0,0,0,0,0,0,0,0,0,0.01888,0,0,0,0.02205,0.01056,0,0,0,0,0,0,0,0,0,0,0,0,0.00544,0,0.0051,0,0,0,0,0,0,0,0,0,0.04062,0,0,0.01368,0,0.07199,0.00388,0,0,0,0.06488,0,0.06224,0,0.01626,0,0.01554,0,0,0.00161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00437,0,0,0,0.01693,0.03211,0,0,0.00483,0.04552,0.01568,0,0.00205,0,0,0,0,0,0,0.01035,0.07005,0,0,0.0309,0,0,0,0,0,0,0,0,0.00669,0,0,0.00557,0,0,0,0.16119,0,0,0.11207,0,0,0,0.02213,0,0.00891,0,0,0,0,0.14371,0,0,0.1224,0.09481,0,0,0,0.00435,0,0,0,0.00387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01573,0,0.00853,0,0.10948,0,0.02244,0,0,0,0,0,0,0,0.0212,0,0.05938,0,0,0.00656,0.00305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00228
s__Amedibacillus_dolichus,,,0.02256,0,0,0,0,0,0,0,0,0.00292,0,0,0,0,0,0,0,0,0,0.01275,0,0,0,0,0,0,0,0,0,0,0,0.42708,0,0,0,0,0,0,0,0.54708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19432,0,0,0,0,2.93205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00298,0,0,0,0,0,0,0,0,0.13599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14343,0,0,0,0,0,0,0,0,1.29502,0,0,0,0,0,0,0,0,0.14912,0,0.18318,0,0,0,0.00291,0,0,0,0,0,0,0,0,0,0,0,0,0.3322,0,0,0,0,0,0,0,0,0,0,0,0.02907,0,0,0,0,0,0,0.01567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB3278_SGB4328,,,0.02067,0,0,0,0.34179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2996,0,0,0,1.19165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86644,0,0,0,0,0,0,0,0,0,0,0,0,0.53562,0.99531,0,0,0,0,0,1.06624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.878,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Actinomyces_oris,,,0.02002,0,0,0.00596,0,0,0,0.00611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03919,0,0,0,0.01223,0.00166,0,0,0.28453,0.00905,0,0,0,0,0,0,0.01171,0,0,0.02229,0,0.00642,0,0,0.03232,0.04346,0,0.00392,0,0,0,0,0,0,0,0,0,0.00216,0,0,0,0,0.04244,0,0.01367,0,0,0,0.00676,0,0,0,0,0,0.02846,0,0,0,0,0,0,0,0,0,0,0.0359,0,0.00322,0.06843,0,0,0,0,0,0,0,0,0.00152,0,0,0,0,0.00118,0,0.01235,0,0.02866,0.00631,0,0,0,0.03887,0,0,0,0,0,0,0.06494,0,0,0,0,0,0,0,0.00603,0,0,0.00994,0,0,0,0.02473,0,0,0,0,0,0,0,0,0.00674,0.05208,0,0,0,0.00421,0,0,0,0,0.00687,0,0.02339,0,0,0,0,0,0,0.05297,0,0,0,0.00761,0,0,0,0,0.00112,0,0,0,0.0102,0,0.00952,0,0,0,0.08291,0,0,0.00984,0,0.01231,0,0.00287,0,0,0,0.02435,0.0064
s__Clostridiales_bacterium_1_7_47FAA,,,0.01966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02851,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Hydrogeniiclostidium_mannosilyticum,,,0.01854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05034,0,0,0,0.01136,0,0,0.02279,0,0,0.00287,0.0026,0.01768,0.00416,0,0,0,0,0.02253,0.03186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0359,0.0074,0,0,0,0.01752,0,0,0,0,0,0,0.04624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05949,0,0,0,0,0,0,0,0,0,0,0,0.0298,0,0,0,0,0,0,0.00067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12068,0,0,0,0.00269,0,0.06439,0,0,0,0,0.0346,0,0.04217,0,0,0.11903,0,0,0,0,0,0,0,0,0,0,0,0.00162,0,0.00868,0,0,0
s__Holdemania_filiformis,,,0.01671,0.00797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03721,0.00052,0,0.0465,0,0,0,0,0.03822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01129,0,0,0.01179,0,0,0,0,0.01161,0,0,0,0.04805,0,0,0,0,0,0.01351,0,0,0,0,0.00117,0,0,0,0.00407,0,0,0.00992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04337,0,0,0,0,0,0.00408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03419,0,0,0,0,0,0,0,0,0.01629,0,0,0,0,0,0,0,0,0,0,0.00534,0,0,0,0,0,0.02956,0,0,0,0,0,0,0,0,0,0.00384,0,0.00653,0,0,0,0,0,0.00448,0,0,0,0,0,0,0,0,0,0.06248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__GGB79734_SGB15291,,,0.01552,0.01299,0,0.15103,0,0,0,0,0,0.19123,0,0,0,0,0,0.05926,0,0,0.87789,0,0,0.03558,0,0,0,0,0,0,0.03495,0.29516,0,0,0,0.02267,0,0,0.35828,0.12221,0,0,0,0.33908,0,0,0,0,0.02288,0.16698,1.24107,0,0.19552,0,0,0.0509,0,0,0,0,0.14418,0,0,0,0,0.46418,0.02209,0,0,0,0,0,0,0.0671,1.21951,0,0,0,0,0.36905,0,0.03286,0,0,0.33731,0,0,0,0,0,0,0.57524,0,0,0,0,0,0,0,0.02327,0,0,0,0.43641,0,0,0,0,0,0,0,0.17595,0,0,0,0.14749,0,0,0,0,1.20457,0,0,0,0,0,0.13518,0,0,0,0,0,0,0,0,0,0,0.06329,0.15406,0,0,0.45386,0,0,0,0,1.02541,0.41897,0,0.13506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02613,0,0,0,0,0,0,0,0.07156,0,0,0,0,0.0418,0,0,0,0,0,0.11497,0,0,0,0,0,0,0,0,0,0,0.58781,0,0,0,0,0,0,0
s__Collinsella_SGB4121,,,0.01498,0.02811,0,0.05168,0,0,0,0,0,0.05011,0,0.02837,0,0,0.02187,0.04167,0,0.0689,0,0,0,0.08607,0.03493,0,0.03673,0.02701,0,0,0,0.0675,0.08722,0,0,0,0,0.06811,0.01677,0,0.01533,0,0,0.03561,0.12868,0,0.02978,0,0.11881,0.16102,0.0409,0.01144,0.12465,0,0.04743,0.02505,0,0,0.06082,0,0,0.03015,0,0,0,0.01353,0.0152,0.09012,0,0.0283,0.11155,0.01916,0,0,0,0,0,0,0.0394,0,0,0,0,0,0,0.09131,0.02894,0,0,0,0,0,0,0.05227,0.04699,0,0.08109,0,0,0.00695,0,0.01211,0.08546,0,0.0304,0,0,0.12494,0,0,0.03408,0.07478,0,0.24438,0.1172,0,0.0485,0,0.02073,0,0.0392,0,0,0.09207,0.09138,0,0,0,0,0,0.01414,0,0,0.008,0.00451,0,0,0.08379,0,0.05186,0,0,0,0.00521,0,0.0349,0,0,0.02704,0,0.04143,0.22958,0,0,0.05883,0.0172,0,0,0.12547,0.0973,0.01146,0,0,0,0,0,0,0,0.03747,0.0326,0.02649,0,0.23327,0.00528,0,0,0.05746,0,0.12857,0,0.08572,0.0241,0,0,0.15849,0.16344,0,0.04355,0,0.04187,0.065,0.05329,0,0,0,0.0703,0.0381,0.00929,0,0.0739,0,0,0.0209,0,0,0.04545
s__Leuconostoc_gelidum,,,0.0106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Alloscardovia_omnicolens,,,0.01013,0,0.00708,0,0,0,0,0,0,0,0,0,0,0,0.00837,0,0,0,0,0.00397,0,0,0,0,0.00185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01913,0,0,0,0,0,0,0,0,0.20055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00325,0,0.218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08864,0,0,0,0,0,0.21065,0,0,0,0,0,0.00259,0,0,0,0,0,0,0,0.0081,0,0,0,0,0.09126,0,0,0,0,0,0,0,0,0.00094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00305,0.00907,0,0,0.00217,0,0,0,0,0
s__Streptococcus_oralis,,,0.01,0,0.0185,0,0,0,0,0,0,0,0,0,0,0.0076,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00279,0,0,0.04032,0,0,0,0,0,0,0,0,0,0,0.0292,0,0,0,0,0.07629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24947,0,0,0.00621,0,0,0,0,0,0,0,0,0.00324,0,0,0,0,0,0,0,0,0,0,0.05498,0,0,0,0,0.12786,0,0,0,0,0.01308,0.01398,0,0,0,0,0,0,0,0.02179,0,0,0,0,0,0.01621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00775,0,0,0,0,0,0,0,0,0.00486,0,0,0,0,0,0,0,0,0,0,0,0,0.01881,0,0,0,0,0,0.0477,0,0.08237,0,0,0,0,0,0,0,0,0,0
s__Lacrimispora_amygdalina,,,0.00896,0.02727,0,0,0,4.04242,0,0.22634,0,0,0.27092,0.03775,0,0.05598,0,0.07313,0,0.02942,0,0,0,0,0,0,0,0.01759,0,0,0,0.01485,0.12696,0,0,0.06683,0,0,0.15468,0.0474,0,0,0.5883,0.04375,0,0,0.19201,0,0,0,0.58267,0.05902,0,0,0,0.01756,0.10092,0,0,0,0,0,0,0,0,0.0407,0.00446,0,0.05435,0.00228,1.64476,0.07488,0,0.13123,0.14134,0.01283,0.57887,0,0.35645,0.05306,0,0.05517,0,0,0.00305,0,0.01506,0,0.04194,0.06602,0,0.12421,0,0,0,0.10326,0,0,0,0,0.2488,0.01223,0.02757,0,0,0,0.02956,0.0264,0,0.02959,0,0,0.06595,0,0,0.00871,0,0.21144,0.0148,0,0,0,0,1.56783,0.03796,0,0.11374,0.12617,0,1.07398,0.3125,0,0,0,0,0,0,0,0.05517,0,0.04486,0.06007,0,0,0,0,0.00103,0.00458,1.09459,0.02112,0.02304,0,0.09181,0.07887,0.01641,0.02121,0,0,0,0,0,0.00772,0.05625,0,0,0.00652,0.08971,0,0.008,0.74016,0,0,0,0,0,0,0,0,0,0,0.101,0.06237,0,0,0.01001,0.02208,0.40456,0.24553,0,0,0,0.01712,0,0.1483,0,0,0,0,0,0,0,0.11004,0,0,0,0
s__Leuconostoc_carnosum,,,0.00723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02931,0,0,0,0,0,0,0.01077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01797,0,0,0
s__Lactococcus_piscium,,,0.00702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Desulfovibrio_SGB5077,,,0.00665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07749,0,0,0,0,0,0,0,0,0,0,0,0,0.02358,0,0,0,0,0.14953,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02033,0,0.40339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01527,0,0,0,0,0,0,0,0,0.07662,0,0,0,0,0,0,0,0,0,0,1.06321,0,0,0,0,0,0,0,0,0,0.11109,0,0,0,0,0.47563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Limosilactobacillus_gastricus,,,0.00555,0,0,0,0,0,0,0,0,0,0.00855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Streptococcus_mitis,,,0.00405,0,0.01457,0,0,0,0,0,0,0,0.04555,0,0,0.03086,0,0,0.05296,0,0,0,0.07895,0,0,0,0.02337,0,0,0,0,0,0,0.01559,0,0,0,0.00405,0,0,0,0,0.01125,0.0058,0,0,0,0,0,0,0,0,0.00704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00973,0,0,0,0,0,0,0,0,0,0,0,0,0.02068,0.00663,0,0,0,0,0,0,0,0,0,0,0,0,0.01155,0,0,0.00594,0.00841,0,0,0,0,0,0,0,0,0.00374,0,0,0,0,0,0,0,0,0,0,0.29039,0,0.01948,0.02222,0,0,0,0,0,0.01063,0.00872,0.03977,0,0,0,0,0,0,0,0.04104,0,0.02388,0,0,0,0.00267,0,0,0,0,0,0,0,0,0,0.07895,0,0,0,0,0,0,0,0,0.01699,0,0.00945,0,0.00892,0.00792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06253,0,0.05387,0,0.0326,0,0,0,0.02833,0.00861,0.17873,0,0,0,0,0,0,0,0,0,0
s__GGB9580_SGB14998,,,0.00306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15823,0,0.01319,0,0,0,0,0,0,0.00275,0,0,0,0,0,0,0,0,0,0,0,0,0.20281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03968,0,0,0,0,0.04971,0,0,0,0,0,0,0,0,0,0,0,0.00646,0,0,0,0,0,0,0,0.46307,0,0,0,0,0,0,0,0.13727,0,0,0,0,0,0,0.08721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10263,0,0,0,0,0,0,0,0,0,0,0,0,0.01251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37796,0,0,0,0,0.12758,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25692,0,0.34505,0,0,0,0,0,0
s__Clostridiaceae_bacterium_AF18_31LB,,,0.00299,0.05924,0,0,0.02019,0,0,0,0,0.01227,0.16263,0,0,0,0,0.43343,0,0,0,0,0,0.00266,0.02944,0,0,0.03336,0,0.01575,0.0444,0.01325,0.01781,0,0.09846,0.48548,0,0,0.07691,0,0,0,0,0.12726,0,0,0,0,0.02617,0,0,0.01862,0,0,0,0.03399,0.02585,0,0,0,0.06547,0.03079,0,0,0,0.00446,0.01509,0,0,0,0,0.07684,0,0.23471,0.15376,0,0.09323,0,0.10471,0.06661,0,0.01167,0.03011,0,0.0061,0.13668,0,0,0.08315,0,0,0.08647,0,0,0,0,0,0,0,0,0.03886,0,0,0,0,0,0.00359,0.03509,0,0,0,0,0,0,0,0.09455,0,0.05449,0.10766,0.03641,0.01202,0,0,0.21385,0,0,0.04609,0.11676,0,0,0.14793,0,0,0.11416,0,0,0,0.00466,0.05776,0.0485,0,0,0.01618,0,0,0.01602,0,0,0.22076,0,0.01497,0.02784,0,0,0.06727,0.02257,0,0,0,0,0,0,0.05208,0,0,0,0.06759,0,0.03011,0,0,0,0,0,0.05971,0,0,0,0,0,0,0.05224,0,0,0,0,0,0.04657,0,0,0,0.06346,0,0,0,0.06944,0,0,0.01164,0,0,0.0167,0,0,0,0
s__Latilactobacillus_curvatus,,,0.00282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12602,0,0,0,0,0,0,0,0,0,0.00113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00543,0,0,0,0,0,0,0,0,0,0,0,0.03679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0882,0,0,0,0,0,0,0.00877,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Actinomyces_sp_ICM47,,,0.00237,0,0,0,0,0,0.00618,0,0.02445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02567,0,0,0,0,0.02481,0,0.02814,0,0,0,0.0185,0.00336,0,0,0,0,0,0.05109,0,0,0,0,0,0.02256,0,0.06297,0,0.02003,0,0,0.44987,0,0,0.06077,0.00415,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07213,0,0,0,0,0,0,0,0,0,0,0,0.06651,0,0,0,0,0,0.02405,0,0,0,0,0.24345,0,0.00894,0,0,0.04058,0,0,0,0.00943,0,0,0,0,0,0,0,0.00195,0,0.01228,0,0,0,0,0,0.01455,0.01506,0,0,0,0,0,0,0.07396,0.00621,0,0,0,0,0,0,0.00451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00167,0.01326,0.0691,0.00543,0.01677,0,0,0,0,0,0,0.00727,0.01231,0.0205,0,0.01263,0,0,0,0,0
