Abundance,SAMN00045227,SAMN00083009,SAMN00037274,SAMN00040800,SAMN00036649,SAMN00039351,SAMN00034694,SAMN00088343,SAMN00041005,SAMN00037971,SAMN00042702,SAMN00036351,SAMN00032571,SAMN00068173,SAMN00081451,SAMN00038321,SAMN00070934,SAMN00038409,SAMN00043931,SAMN00045483,SAMN00038172,SAMN00032739,SAMN00043289,SAMN00032521,SAMN00037735,SAMN00087897,SAMN00067053,SAMN00041128,SAMN00084528,SAMN00070004,SAMN00037108,SAMN00067023,SAMN00040903,SAMN00043166,SAMN00045293,SAMN00065013,SAMN00039645,SAMN00038465,SAMN00038525,SAMN00077726,SAMN00036435,SAMN00044744,SAMN00045350,SAMN00044394,SAMN00038651,SAMN00041546,SAMN00039569,SAMN00068879,SAMN00071040,SAMN00074599,SAMN00070761,SAMN00069721,SAMN00037236,SAMN00032966,SAMN00040035,SAMN00070431,SAMN00077487,SAMN00040286,SAMN00045047,SAMN00038207,SAMN00041451,SAMN00034376,SAMN00085565,SAMN00033491,SAMN00043355,SAMN00045189,SAMN00034905,SAMN00042087,SAMN00039874,SAMN00032708,SAMN00038919,SAMN00040248,SAMN00037553,SAMN00040599,SAMN00045132,SAMN00069968,SAMN00037178,SAMN00035018,SAMN00036283,SAMN00036482,SAMN00036408,SAMN00037000,SAMN00032498,SAMN00032842,SAMN00036796,SAMN00073223,SAMN00063010,SAMN00045843,SAMN00076528,SAMN00037713,SAMN00044564,SAMN00037072,SAMN00035831,SAMN00034433,SAMN00038739,SAMN00035453,SAMN00072706,SAMN00076268,SAMN00032889,SAMN00074965,SAMN00035677,SAMN00072036,SAMN00083300,SAMN00034120,SAMN00037485,SAMN00032676,SAMN00041186,SAMN00035505,SAMN00078779,SAMN00069909,SAMN00033023,SAMN00039531,SAMN00073407,SAMN00036587,SAMN00035169,SAMN00035531,SAMN00043827,SAMN00037803,SAMN00039793,SAMN00073344,SAMN00040819,SAMN00065722,SAMN00083581,SAMN00039039,SAMN00070308,SAMN00034739,SAMN00063420,SAMN00062293,SAMN00036197,SAMN00069173,SAMN00037313,SAMN00063710,SAMN00044801,SAMN00036881,SAMN00040615,SAMN00062637,SAMN00040202,SAMN00040379,SAMN00037421,SAMN00040485
t__SGB15154,0.01072,0.01863,0.0591,0.06536,0.00574,0,0,0.01703,0.01806,0,0.04614,0.03253,0,0.01095,0,0.01256,0.04249,0.06834,0.01703,0,0.00404,0.00292,0.05396,0.01041,0.01452,0,0.0005,0.02138,0.01704,0.00467,0.00564,0,0.04297,0.08354,0.0039,0.01766,0.03497,0.00265,0.00445,0.00877,0.01661,0.0341,0.00462,0,0.01039,0.02219,0.00588,0,0.00116,0.16933,0.04596,0,0.01365,0,0.00722,0.03076,0.06907,0.012,0,0,0.04232,0.00242,0.05337,0.05207,0.01267,0.00343,0.14331,0.02283,0,0.00343,0,0.00325,0.00662,0.05452,0.02197,0.063,0.00743,0,0.10798,0.0783,0.07689,0.07781,0,0.00834,0.0276,0,0,0.00301,0.01733,0.00302,0,0.03716,0,0,0.24108,0.02311,0.00408,0,0.2509,0.08472,0.12088,0.01016,0.03643,0.00033,0.07536,0.0299,0.0075,0.22609,0.00246,0,0.0102,0.00869,0.00985,0.01182,0.00673,0,8e-05,0,0.01274,0.00794,0,0.00028,0.04881,0,0.05393,0.00842,0.09029,0,0.00814,0,0.0074,0.00308,0.00907,0,0.00201,0.00657,0.002,0.00063,0.04994,0.02518
t__SGB14182,0.01071,0.10788,0,0,0,0,0.0675,0.00253,0,0,0,0.08766,0,0,0,0.00027,0,0,0,0.19114,0,2.81127,0,0,0,0.03608,0,0.00709,0,0.01474,0,0,0.07,0,0,0,0.00805,0,0,0,0,0.00234,0.03457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00376,0,0,0,0,0,0,0,0,0,0,0.08298,0.00091,0.04888,0.00558,0,0,0,0,0,0,0,0,0.15067,0,0,0.31416,0,0,0,0,0,0,0.32519,0,0,0.04807,0,0,0,0,0.09598,0,0.0021,0,0.13884,0,0,0,0,0,0,0,0,0,0,0,0.17163,0,0,0,0,0,0,0,0,0,0,0.00673,0,0
t__SGB4184,0.01069,0.06082,0,0,0,0,0,0,0,0,0.00305,0.48243,0.03877,0,0,0,0,0,0,0,0,0,0,0.00292,0,0.22609,0,0,0,0.25628,0,0,0.00446,0,0,0,0,0,0,0,0,0.00415,0,0,0,0,0,0.03702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17609,0,0,0,0,0,0,0,0,0,0,0,0.02367,0,0,0,0,0,0.01106,0.04041,0,0.19593,0,0,0,0,0,0,0,0,0,0.03747,0,0.00933,0,0,0,0,0,0,0,0,0,0,0,0,0.25942,0,0,0,0,0,0.01309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB15045,0.01034,0,0,0,0.00059,0,0,0.00243,0,0,0,0,0,0,0,0,0,0,0,0.00477,0,0,0,0,0,0,0,0,0.0009,0,0,0,0.00315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00018,0,0,0,0,0,0,0,0.00177,0,0,0,0,0,0,0,0,0,0,0,0.00343,0,0,0,0,0,0,0,0,0,0.00297,0,0,0,0,0.00306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00436,0,0,0,0,0,0,0,0,0,0,0
t__SGB14837,0.00997,0.0001,0.02369,0,0.00852,0,0.00045,0.00445,0.00075,0.05024,0.0064,0.00564,0.02216,0,0.00471,0.00364,0.00177,0.00334,0,0,0,0.00508,0.0024,0,0.00861,0,0,0,0.00136,0,0.00933,0,0.01304,0.03388,0,0.0048,0.05319,0,0.00131,0,0.00212,0.00992,0.00379,0.02386,0.00261,0,0,0,0,0.06721,0.00708,0.00356,0,0,0,0.03099,0,0.00761,0,0.04587,0.00116,0.01166,0,0.00125,0.0136,0.03387,0,0,0,0.00391,0,0.03561,7e-05,0.00755,0,0.00443,0,0.0009,0.01334,0.06071,0,0.0035,0,0.00087,0.01034,0,0,0,0.00239,0.00226,0,0,0,0.0031,0.01014,0.00566,0,0.00915,0.00847,0.03626,0.01166,0.16801,0.01207,0,0.03266,0,0,0.07397,0.03449,0.00523,0,0.03355,0.02298,0,0.00781,0.00246,0.01427,0,0.00481,0.00771,0,0.00477,0,0,0.00628,0.01764,0,0,0,0,0.0069,0.02401,0.00915,0,0.01254,0,0.00326,0.00037,0.00195,0.00332
t__SGB15390,0.00991,0.0155,0,0.05688,0.00069,0,0,0,0,0,0,0.01397,0,0,0,0,0,0,0,0.00076,0,0.01384,0.02035,0,0,0,0,0,0.02798,0.00421,0,0,0.03717,0,0,0,0,0,0,0,0,0.00051,0.00313,0,0,0.21766,0,0.00789,0,0,0,0,0.00568,0,0,0,0,0.00474,0,0,0.00628,0,0,0.15885,0,0,0.14514,0.02804,0,0.00338,0,0,0,0,0.00082,0.00664,0,0,0,0,0,0.00072,0.00023,0.00452,0,0,0,0,0,0,0,0,0,0,0.01873,0.00937,0,0,0,0,0,0,0.08882,0,0,0.02633,0.00035,0.06081,0,0,0.06335,0,0,0,0.00172,0,0,0,0,0,0,0,0,0,0,0,0.01261,0,0.73388,0,0,0,0,0,0,0.04682,0,0.01264,0.03057,0
t__SGB4741,0.00926,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01239,0,0,0,0.01754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00551,0,0,0,0,0.00321,0,0,0,0.01079,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03822,0,0,0.00201,0,0,0,0,0,0,0,0.00132,0,0,0,0.00025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11153,0.00534,0,0,0,0,0.00234,0,0,0,0,0,0,0.00999,0,0,0,0,0,0,0,0,0,0,0,0,0.07239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB4837,0.00903,0.08565,0.00734,0.044,0.25577,0.0446,0.25912,0.13982,0.01777,0.16307,0.05054,0.01614,0.14075,0.05123,0.2223,0.12071,0.06021,0.3802,0.16522,0.03139,0.17469,0.11407,0.09818,0.1212,0.20998,0.04878,0.02141,0.50306,0.08298,0.08499,0.02213,0.28826,0.09392,0.064,0.23971,0.02785,0.50351,0.06906,0.08728,0.10618,0.139,0.53378,0.1041,0.04918,0.35116,0,0.62278,0.01242,0.11607,0.21275,0.42807,0.70805,0.16618,0.03605,0.43688,1.88856,0.3461,0.27012,0.02694,0.09588,1.04783,0.21601,0.21077,0.06542,0.19902,0.09166,0.14309,0.52836,0.65057,0.08076,0.01991,0.1666,0.06341,0.0428,0.28051,0.02588,0.01898,0.16049,0.03932,0.03337,0.1383,0.27818,0.00162,0.03056,0.12809,0.492,0.10135,0.09109,0.06095,0.28321,0.12193,0.53347,0.17158,0.00946,1.438,0.02957,0.12797,0.06291,0.24447,0.06415,0.04057,0.37465,0.21173,0.03629,0.06267,0.05035,0.00472,0.17546,0.13739,0.15964,0,0.3362,0.13986,0.15285,0.00969,0.31665,0.10231,0.00163,0.22092,0.04821,0.04029,0.01438,0.09167,0.12077,0.0254,0.02293,0.44524,0.58805,0.05538,0.26566,0.02499,0.35489,0.05985,0.12241,0.02339,0.16322,0.09492,0.03924,0.15533,0.06216
t__SGB4826,0.00865,0.00449,0,0,0.06073,0,0.01053,0.00963,0.03373,0,0.00069,0,0.01245,0.02358,0.03291,0.05923,0.00643,0.00483,0.04982,0,0.00337,0.00379,0.05259,0.00067,0.10195,0.04535,0.0081,0.01652,0.01779,0.00186,0,0.01312,0.00569,0.02028,0.00227,0.00317,0,0,0,0,0.24591,0.07304,0.01682,0.00356,0.01428,0.02828,0,0.02834,0,0,0.12897,0.09708,0,0.0027,0.09789,1.12722,0.08465,0.11063,0.00637,0.02808,0.11187,0.03459,0.1083,0.15884,0.04437,0.04235,0.02842,0.006,0,0.13506,0.01254,0.00124,0.00293,0.01775,0.14482,0.05642,0,0.00208,0.00184,0.01402,0.02072,0.04615,0,0.04009,0.0327,0.08459,0.00795,0,0.01839,0.11582,0,0.01415,0,0,0.14364,0.03521,0.00327,0,0,0.02118,0.00074,0.07562,0.00204,0,0.06364,0.00584,0.0018,0.12372,0.01599,0.05134,0.03445,0.06992,0.05454,0.07038,0.00638,0,0.00142,0.00281,0.0647,0.0131,0,0,0.02398,0.00276,0,0,0.28151,0.85755,0.06469,0.01159,0.01739,0.00053,0.01227,0,0.01147,0.00212,0,0.03382,0.04063,0.02816
t__SGB14853,0.00855,0.00075,0,0.00163,0.009,0,0,0.00366,0,0,0,0.01739,0,0.01596,0.00696,0.01257,0.00847,0,0.00767,0,0,0.02142,0.08557,0.004,0.0307,0.00732,0,0.33858,0.05794,0.0033,0.00241,0.00313,0.00511,0.02078,0.00259,0.0024,0.06143,0.01299,0,0.12942,0.53415,0.0153,0.01985,0,0.00301,0.68071,0.0041,0,0.28381,0.16709,0.11872,0,0,0.0285,0.01485,0.00641,0.08352,0.01152,0,0,0.07907,0.0306,0,0.15141,0.00155,0.53378,0.00555,0.04854,0.01725,0.052,0.04792,0.00015,0.01084,0.00323,0.03845,0.0084,0,0,0.02734,0.20217,0.03103,0.01436,0,0.01294,0.06581,0.06609,0,0,0.03761,0.02048,0,0.0734,0.07351,0.05282,0.1531,0.00725,0.00348,0,0.07112,0.037,0.01334,0,0.17585,0,0,0.00017,0.00781,0.08903,0.03391,0.0069,0.02469,0,0.01063,0,0.2972,0.15053,0.00608,0,0.02706,0.01963,0.07319,0.00996,0.04095,0.01125,0.12701,0.00518,0.07146,0,0.10785,0,0.038,0.00297,0.00539,1.20575,0,0.02369,0.00534,0.02077,0.02429,0
t__SGB4777,0.00758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00182,0,0,0,0,0,0.02781,0,0,0,0,0.00096,0,0,0,0,0,0,0,0,0,0,0,0.00131,0.00261,0,0,0,0.01481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB63163,0.00679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00449,0,0,0,0,0.01542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02044,0,0,0,0,0.00093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00628,0,0,0,0,0,0,0,0,0,0,0
t__SGB4198,0.00671,0.00172,0,0.24864,0.3361,0,0,0.00389,0.00217,0,0,0.02795,0.34368,0,0,0,0.00234,0,0,0,0,0,0.68786,0,0.00671,0,0.03621,0.00703,0.01817,0.00209,0,2.43285,0.02518,0.00201,0,0.34679,0,0,0,0,0,0,0,0,0,0.15784,0,0.00099,0,0,0,0,0.00243,0,0.59115,0.08826,0,0.22285,0,0,0.49394,0,0,1.14812,0.62834,0,0,0.0264,0.00281,0,0,0.0021,0.04031,0,0.00046,4.72725,0.69969,0,2.21404,0,1.93333,0.05436,0,0.54542,0,0,4.37329,0,0.01065,0.00379,0,0,1.72113,0,0.0181,0.10758,0.55447,0.45924,0,0.02739,2.56636,0,0.05703,0,0,0.00991,0.00474,0.16386,0,0,0.98817,0,0.47508,0,5.35276,0,0.25244,0,0,1.37982,0.94383,0,0,0,0,0.00682,3.20475,0,0.00985,1.94743,0.0264,0,0,0,0,0.15225,0,0.91004,0.0211,0.00088
t__SGB15272,0.00629,0.02379,0,0.00821,0,0.01894,0,0,0,0,0,0.09255,0.00063,0.00366,0,0,0.00953,0,0.73525,0,0,0.00589,0.00154,0,0.0163,0.01531,0,0,0,0,0,0,0.00223,0,0,0,0,0,0,0,0.00186,0,0,0,0,0,0,0.00213,0,0,0,0,0,0,0,0,0.2609,0,0,0,0.00241,0,0,0.07634,0,0,0.04605,0,0,0,0,0,0,0,0.00358,0,0,0,0.01152,0,0,0,0,0,0.01207,0.02319,0,0,0,0.00492,0.09647,0,0,0,0,0.00925,0,0,0,0,0.02541,0,0.01224,0,0,0,0,0,0.20199,0.00694,0,0,0,0,0.01199,0,0,0,0,0,0.0082,0,0,0,0,0,0.0127,0,0.01521,0,0,0,0,0,0,0,0,0,0,0
t__SGB14166,0.00625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00061,0,0,0,0,0,0,0,0,0.01336,0.01105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00584,0,0,0,0,0,0,0,0,0.0027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB4893,0.0062,0,0,0.10335,0.00216,0,0.01493,0.01654,0.00645,0,0.01564,0,0.01945,0.00937,0,0.00845,0,0.00614,0,0,0,0.00059,0.06277,0.01244,0.0028,0.00219,0.01177,0,0.00668,0.04958,0,0.00291,0.0025,0.00736,0,0,0.03902,0,0.10056,0,0,0.06036,0.00576,0,0,0,0,0.00251,0.08022,0,0.02274,0,0,0.02305,0.00391,0,0,0.00262,0,0,0.00457,0,0,0.01897,0.26269,0,0,0.0035,0,0.03092,0.0014,0,0,0,0.09822,0.96724,0,0.0011,0,0,0,0.01145,0,1.75696,0.00216,0.00781,0,0,0,0.0052,0,0,0,0,0,0,0.12066,0,0,0,0,0,0,0,0,0.00101,0,0,0,0,0.06361,0,0.02402,0,0.01589,0,0.03426,0.04819,0,0,0.00386,0,0,0.00151,0,0,0,0,0,0.00309,0.30193,0.00076,0,0.02011,0.00095,0,0,0.00925,0,0
t__SGB14933,0.00614,0,0,0,0,0,0.00763,0.00605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01886,0,0.00116,0,0,0,0,0.0124,0,0,0.01156,0,0,0,0,0,0,0,0,0,0.02412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008,0.01979,0,0,0,0.01159,0,0,0,0,0,0,0,0.0007,0,0,0,0,0,0.00506,0.00115,0,0,0,0,0,0,0,0,0.00276,0,0,0,0,0,0,0,0,0,0.02116,0,0,0,0,0,0,0,0.00392,0,0,0,0,0,0,0,0,0,0.01519,0,0,0,0,0.0068,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB14125,0.00573,0.01415,0,0,0,0,0,0,0,0,0,0.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00197,0,0,0,0,0,0,0,0,0,0.14605,0,0,0.00178,0,0,0,0,0.0079,0.04537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01308,0,0,0,0,0,0,0,0,0,0,0,0.00191,0.01558,0,0,0,0.01036,0,0,0,0,0,0.03666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00465,0,0,0,0.00796,0,0
t__SGB15260,0.00555,0,0,0,0.02724,0,0,0.01757,0,0,0,0.00084,0.00429,0,0,0,0,0,0,0.02554,0,0.00549,0,0,0,0,0,0,0,0.08695,0,0,0,0.05885,0,0.03195,0.18495,0,0.00365,0,0,0.08504,0,0,0,0.67603,0,0,0.00654,0,0,0,0,0,0.027,0,0,0.08299,0,0,0,0,0,0.00098,0,0,0,0,0.00237,0.00863,0.00212,0.05102,0,0,0,0.01001,0,0,0.13854,0.27041,0,0.04377,0,0.00427,0,0,0,0,0,0,0,0,0,0,0,0,0.02139,0,0,0,0.0636,0,0,0,0,0.0224,0.05923,0,0,0,0,0,0.01134,0,0.2056,0,0.05159,0,0,0,0,0.00167,0,0.04483,0.03023,0,0,0,0,0,0.02991,0,0.01131,0.04315,0.01398,0.00371,0,0.08566,0.02046,0
t__SGB4582,0.00555,0,0.00261,0.00011,0.03738,0,0,0,0.00499,0.00554,0.01851,0,0.07876,0.08229,0,0.0154,0.00971,0.01146,0.10209,0,0.00611,0,0,0.01786,0.00432,0,0.00165,0.02425,0.0302,0,0,0.01763,0.00393,0.0337,0.01512,0.00493,0.03226,0,0.00904,0,0.10549,0.11948,0.01697,0,0,0.02623,0,0.00616,0.03907,0,0.01048,0.0117,0,0.00798,0.10669,0.12447,0.14126,0.07189,0,0.00568,0.00288,0.12779,0,0,0.03762,0.01746,0,0.04655,0,0.05448,0.00143,0.01083,0.00459,0,0,0.01823,0.00786,0.00377,0.06896,0,0,0.03254,0,0.0342,0.12967,0,0,0,0.02265,0.00248,0,0.03224,0,0,0,0.02581,0.03662,0,0,0,0.06753,0.03522,0,0,0.06101,0.05286,0,0,0.00133,0.01513,0.0124,0.00168,0.00697,0.02819,0.02653,0,0.0152,0.00041,0.01536,0,0.04943,0,0.0095,0,0,0,0,0.07736,0.02687,0.01847,0.33862,0.02875,0.0106,0.0009,0.05314,0,0,0.00981,0,0.01202
t__SGB15156,0.00502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00935,0,0,0,0,0,0.02039,0,0,0,0.00483,0,0,0,0,0,0,0,0,0,0,0,0,0.01007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01208,0,0,0,0.00833,0,0,0,0,0,0,0,0.00028,0,0,0,0,0,0.00146,0,0.00303,0,0,0,0,0,0,0,0,0,0,0,0.00198,0,0,0,0.05061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00039,0,0
t__SGB106198,0.00396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB15204,0.00361,0,0,0.07791,0.00241,0,0,0,0,0,0,0.00794,0,0,0,0,0,0,0,0,0,0,0.00623,0,0,0,0,0,0.00103,0,0,0,0.03118,0,0,0,0,0,0,0,0,0,0,0,0,0.01458,0,0,0,0,0,0,0,0,0,0,0,0.00149,0,0,0,0,0,0.10896,0,0,0,0.02724,0,0,0,0,0,0,0,0.00038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02882,0,0,0,0,0,0,0,0,0,0,0
t__SGB15203,0.0034,0,0,0,0,0.00513,0,0,0,0,0,0.02379,0,0,0,0,0,0,0,0,0,0.00594,0,0,0,0,0,0,0.48849,0,0,0,0.00951,0,0,0,0,0,0,0,0,0.00345,0,0,0,0.03589,0,0.00715,0,0,0,0,0,0,0,0,0,0,0,0,0.0035,0,0,0,0,0,0,0.00044,0,0.01216,0,0,0,0,0.00228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03808,0,0,0,0,0,0,0,0,0,0.02628,0,0,0,0,0,0,0,0,0.00619,0,0,0,0,0.00205,0.05443,0,0,0,0,0,0,0,2.76883,0,0,0,0,0.00019,0,0,0,0.00356,0,0
t__SGB1940,0.00317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98084,0,0.08441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01223,0,0,0,0,0,0,0,0,0
t__SGB4753,0.00308,0,0,0,0,0,0,0,0.02488,0.00217,0,0,0,0,0.00953,0,0,0,0,0,0,0,0,0,0.00029,0,0,0.0241,0.0025,0,0.00134,0,0,0,0,0,0,0,0,0,0,0.00722,0,0.03314,0.00058,0,0,0,0,0,0,0.00226,0,0,0,0.01607,0,0,3.22858,0.00383,0,0.00582,1.04178,0,0.00067,0.03762,0.00411,0,0,0.01321,0,0,0,0,0.00048,0,0.00015,0,0,0,0.04258,0.00305,0,0.00386,0,0.01335,0.00743,0,0,0,0,0,0,0.03822,0.01746,0.00605,0,0,0.13618,0.04003,0,0,0,0.81724,0.35191,0,0,0.54949,0,0.00383,0,0.15396,0,0.05886,0,0.01083,0,0,0.00158,0,0,0.01579,0.01057,0,0,0,0.01458,0.0523,0,0,0.00085,0,0,0,0.03855,0,0.00105,0,0,0
t__SGB4537,0.00301,0,0,0.0004,0.01936,0,0,0,0,0,0,0,0,0.00278,0,0,0,0.00091,0.00089,0,0.0629,0,0.02677,0,0,0,0,0,0,0.00015,0,0,0,0,0.01572,0,0,0,0.00796,0,0,0,0.06826,0,0.01726,0.00018,0.07446,0,0,0,0.03462,0.00049,0,0.00025,0.00731,0.00603,0.00061,0.01887,0,0,0.00865,0,0,0.04726,0.01197,0,0.00526,0.00041,0,0.00017,0.0054,0.00568,0.00029,0,0.00211,0.00476,0.00253,0,0,0,0.00979,0.00243,0,0.02119,0.00438,0,0.01442,0.01317,0,0,0,0,0.01983,0,0.00794,0.00504,0,0.01853,0,0,0.00012,0,0.02252,0,0,0.00757,0,0,0.02902,0,0,0.13235,0.00011,0.00522,0,0,0,0,0,0.01599,0.01996,0,0.00961,0.00474,0,0,0.02563,0,0,0,0,0,0,0,0,0,0,0,0,0
t__SGB15201,0.003,0,0,0.05504,0.00084,0,0,0,0,0,0,0,0.00329,0,0,0,0,0,0,0.01149,0,0.00763,0.01136,0,0,0,0,0,0.01068,0.00769,0,0,0,0,0,0,0,0,0,0,0,0.0005,0,0,0,0.19999,0.0082,0.01908,0,0,0,0,0,0,0,0,0,0.00101,0,0,0,0,0,0.01688,0.00223,0,0,0.00564,0,0.0051,0,0,0,0,0,0,0,0,0,0,0,0.00112,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01799,0,0,0,0,0,0,0,0,0,0.00274,0,0.02334,0,0,0.23736,0,0,0,0,0,0,0,0,0.01255,0.06457,0,0,0,0,0,0,0,0.16649,0,0,0,0,0,0,0,0,0,0,0
t__SGB17244_group,0.00284,0.06954,0,0.02107,0.06217,0,0.16689,0.0935,0,0,0,0.44805,0.00596,0,0,2.4706,0.02168,0.00295,0,0,0,0.03716,1.02203,0,0.07688,0.00123,0,0,0.0081,0.04189,0,0.02344,0,0.03218,0,0.01355,0,0,0,0,0,0.21065,0.13807,0,0.01533,0.32344,1.02429,0,0.05851,0,0.09662,0.00169,0,0.05675,0,0.15574,0,0.07557,0.00156,0.00791,0.16412,0,0.00156,0.11551,0.01544,0,0,0.41995,0.01636,0.04899,0.00581,0.12311,0.00416,0.08022,0,0,0,0.00744,0.02821,0,0,0.00303,0,0,0.44962,0.06563,0,0,0.03878,0.037,0,0.02139,0.00733,0,0.1565,0,0,0,0,0,0.01152,0.01395,0.11031,0,0,0.20539,0.05229,0,0,0.03035,0,0,0.01106,0.00487,0.04845,0,0,0.00788,0.01084,0,0,0.01296,0.0097,0.00107,0,0.015,0,0,0.18169,0.03911,0,0.00512,0,0.03419,0,0,0,0.02407,0,0
t__SGB8180_group,0.00261,0,0,0,0.00062,0,0,0,0,0.00274,0,0,0.01718,0,0,0,0.00265,0,0,0.01417,0,0.00742,0,0,0,0,0,0,0,0,0,0.01252,0,0,0,0.00171,0.0025,0,0,0.00663,0.01114,0,0,0,0,0,0,0,0,0,0.00204,0.00978,0,0,0,0,0,0,0,0.00188,0,0.01278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00399,0,0,0,0,0,0,0.00336,0,0,0,0.00164,0.00162,0,0,0,0,0,0,0.01361,0,0,0.01672,0,0,0,0,0,0,0,0,0,0,0.00949,0.03119,0.00421,0,0,0,0,0,0,0,0,0,0,0,0,0.00552,0,0,0,0.01119,0,0.00433,0,0.00135,0,0.03054,0,0,0,0
