Abundance,1000IBD00384,1000IBD00593,1000IBD00198,1000IBD00476,1000IBD00087,1000IBD00560,1000IBD00590,1000IBD00197,1000IBD00700,1000IBD00667,1000IBD00438,1000IBD00230,1000IBD00715,1000IBD00708,1000IBD00236,1000IBD00322,1000IBD00048,1000IBD00216,1000IBD00698,1000IBD00597,1000IBD00720,1000IBD00076,1000IBD00232,1000IBD00662,1000IBD00361,1000IBD00672,1000IBD00074,1000IBD00084,1000IBD00611,1000IBD00612,1000IBD00174,1000IBD00154,1000IBD00249,1000IBD00157,1000IBD00349,1000IBD00250,1000IBD00588,1000IBD00149,1000IBD00371,1000IBD00705,1000IBD00394,1000IBD00001,1000IBD00480,1000IBD00313,1000IBD00691,1000IBD00037,1000IBD00025,1000IBD00393,1000IBD00497,1000IBD00088,1000IBD00137,1000IBD00177,1000IBD01330,1000IBD00487,1000IBD00004,1000IBD00531,1000IBD00208,1000IBD00976,1000IBD00375,1000IBD00134,1000IBD00628,1000IBD00453,1000IBD00327,1000IBD00193,1000IBD00675,1000IBD00358,1000IBD00511,1000IBD01011,1000IBD00467,1000IBD00370,1000IBD00683,1000IBD00078,1000IBD00470,1000IBD00529,1000IBD00172,1000IBD00546,1000IBD00490,1000IBD00235,1000IBD00171,1000IBD00450,1000IBD00196,1000IBD00586,1000IBD00252,1000IBD00710,1000IBD00365,1000IBD00616,1000IBD00579,1000IBD00067,1000IBD00673,1000IBD00184,1000IBD00167,1000IBD00237,1000IBD00389,1000IBD00049,1000IBD00031,1000IBD00266,1000IBD00541,1000IBD00427,1000IBD00426,1000IBD00653,1000IBD00539,1000IBD00403,1000IBD00239,1000IBD00722,1000IBD00058,1000IBD00428,1000IBD00502,1000IBD00639,1000IBD00095,1000IBD00606,1000IBD00206,1000IBD00341,1000IBD00379,1000IBD00347,1000IBD01328,1000IBD00146,1000IBD00640,1000IBD00431,1000IBD00444,1000IBD00412,1000IBD00526,1000IBD00475,1000IBD00122,1000IBD00099,1000IBD00433,1000IBD00693
g__Enteroscipio,,0.27554,0,0,0.07746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15398,0,0.1119,0.5803,0,0,0,0,0,0,0,0,0,0,0,0.17879,0,0,0,0,0,0,0,0,0,0,0,0.04047,0,0.21751,0,0,0.00048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00092,0.4415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB1527,,0.25366,0,0,0,0,0,0.01537,0,0,0,0.02384,0,0.00201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08977,0.00378,0,0.01763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB9524,,0.25282,0,0.04163,0.12934,0,0,0,0,0,0,0,0,0,0,0.47802,0.02036,0,0,0,0.36993,0.0047,0.31216,0.31733,0,0,0,0.16611,0,0,0,0,0,0,0.13915,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09883,0,0,0,0,0,0,0.06767,0.17026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03425,0,0,0,0,0.06926,0,0,0,0,0.00712,0,0,0,0,0.12084,0,0,0.06917,0,0,0,0,0.15325,0,0,0,0.15891,0,0,0,0.20295,0,0
g__Phascolarctobacterium,,0.22989,0.57399,0,0,0.18275,0,0,0,0,0,0,0,0,0,1.15278,0.29605,0,0.13234,0,0,0,0,0,0,0,0,0.41673,0,0,0,0.19057,0,1.38664,0.20862,0.03462,0.48348,0,0,0,0.09744,0,0,0,0,0,0,3.86584,0.72564,0,0.51434,0.32854,0,0,0,0,0.75987,1.54437,0,0,0,0,0,0.35857,7.45394,0,0,0.28922,0,0,0,1.49169,0,0,0,0,0,0,0.72416,0,0,0,0.03301,0,0.30465,0,1.12525,0,0.01448,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0.03941,0.31562,1.78345,0,0,0,0,0,0,0,0,0.47169,0,1.34192,0,0,0,0.93046,0,0,0.90761,0.73041,0,0
g__GGB3746,,0.22092,0.06993,0,0,0,0.10379,0,0,0,0,0.07992,0.35892,0,0,0,0,0,0.04328,0,0.04683,0.0273,0,0.20042,1.08304,0.08474,0,0,0.44106,0,0.30747,0,0,0,0.0243,0.14997,0,0.02342,1.47852,0,0.1469,0,0,0,0.57338,0,0.07534,0,0,1.82797,0,0,0,0,0,0.8039,0,0.00783,0.12331,0,0,0.10272,0,0,0,0.01457,0.11947,0.0533,0,0.4777,0,0.61974,0,0.14824,0.01783,0.08122,9.26976,0.02575,2.13169,0,0.04859,0,0,0,0,0.19211,0.50308,0,0.34837,0,0,0,0.08652,0,0.02406,0,0.1224,0.07184,0,0,0,0.01764,0.21312,0.11158,0,0,1.28292,0.03852,0,1.11904,0.02846,0.84275,0,0.07887,0.19046,0,0,0,0.12823,0.06056,0.03974,1.33152,0,0.02401,0.04432,0.07288
g__Adlercreutzia,,0.19477,0,0.02662,0.25369,0,0,0.38106,0.49545,0,0.05861,0,0,0,0.09869,0.19397,0.35631,0.10856,0.23068,0,0.75538,0.0435,0,0.37678,0,0.10512,0,0.00174,0,0.14821,0,0.3846,0.46921,0.0161,0.23919,0,0.02003,0.44387,0,0,1.92429,0.21888,0.07627,0.12122,0.13409,0.2577,0,0,0.10937,0.08794,0.02771,0,0.48035,0,0,0.00646,0.04332,0,0.54516,0.33498,0,0.1523,0.36767,0,0,0.31203,0.16735,0.34865,0,0,0.20898,0.35802,0.02398,0.11838,0.1915,0.03218,0,0,0,0.64179,0.11723,0,0,0.42986,0.02537,0,0.33028,0,0.64738,0,0,0.80585,0.02845,0,0,0,0,0,0,1.13351,0.092,0.23539,0.02173,0.07662,0.25097,0.45547,0.43725,0,0.04217,0.26494,0.01091,0,0.4159,0.90017,0,0,0.31271,0.03721,0.07809,0.36372,0.30773,0.59571,0.08675,0.00452,0,0
g__GGB33512,,0.18369,0,0,0.01509,0,0,0,0,0,0,0,0,0,0,0.33219,0,0,0,0,0.01009,0.21863,0,0,0,0,0,0.4748,0,0,0,0,0.16153,0,0.0279,0,0.01178,0,0,0,0,0,0,0,0,0.25558,0,0,0,0,0.01559,0,0,0,0,0,0.29746,0,0,0,0.07424,0,0,0,0,0,0.00565,0,0,0,2.84277,0,0.23997,0.06242,0.0878,0,0,0,0,0,0.96971,0,0,0.29046,0,0,0,0,0,0,0.04736,0,0.01509,0,0,0,0.26049,0.04486,0,0,0,0.10553,0,0,0,0,0,0.50522,0.27419,0,0,0,0,0.07486,0,0,0,0,0.00193,0,0,0.01217,0,0,0,0
g__GGB9641,,0.16756,0.05322,0.01213,0.0873,0.00959,0.07593,0.19199,0.00511,0,0,0.01315,0,0.09195,0,0.14018,0,0.0106,0.02201,0,0.14216,0,0.00102,0,0,0,0.02522,0.14779,0,0,0,0,0.39977,0,0,0,0,0.00892,0,0,0,0.02261,0,0,0,0.19392,0,0.22292,0,0.00063,0,0,0,0,0,0.07634,0,0,0.07964,0,0.40969,0,0.09355,0,0,0,0.02482,0,0,0,0.01305,0,0.16246,0.06467,0.28128,0,0,0.88259,0,0.16765,0.16893,0,0.00538,0.4291,0,0,0.00417,0,0.29207,0,0,0,0.11079,0,0.24753,0,0,0,0,0,0.12315,0,0,0.00142,0,0,0,0,0.08933,0.03302,0,0,0.03005,0.22055,0,0,0.00353,0,0,0.00947,0.20395,0.0985,0,0.00877,0.00812,0.00072
g__Anaeromassilibacillus,,0.15241,0.03868,0,0.10004,0,0.24894,0.11083,0.0929,0,0,0.07535,0,0.1477,0.02316,0.02292,0.00728,0.04424,0.16668,0,0.01553,0.06506,0,0.00985,0,0,0,0.1393,0.03736,0.08005,0.00459,0.02185,0.10785,0.04108,0.00508,0.27176,0.10381,0.02394,0.08733,0,0.02308,0.05211,0,0.0472,0.58828,0.27483,0.14436,0.07532,0.03479,0,0,0,0.06778,0,0.10377,0.00568,0.05375,0.06781,0.08024,0,0,0.03271,0.00412,0,0.48512,0,0.05791,0.00949,0.03078,0,0.09763,0,0.07119,0.05887,0.10338,0.00319,0,0.00687,0.03081,0.02527,0.14446,0.23837,0,0.44904,0,0.02843,0.07444,0,0.14508,0.0376,0,0.13468,0.10023,0.23745,1.40866,0.16669,1.3174,0.03139,0,0,0.06101,0.02865,0,0.05557,0,0,0.34812,0.08589,0.15521,0.13011,0,0,0.00814,0.14553,0,0,0.00688,0,0.03863,0.15059,0.0679,0.32682,0.06632,0.01408,0.00131,0.01121
g__GGB42689,,0.13786,0,0,0,0,0.02613,0.00999,0,0,0,0,0,0.01017,0,0,0,0,0.00962,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03795,0,0,0,0,0,0,0.05594,0,0,0,0,0.03433,0,0,0.02448,0,0,0,0,0,0,0,0,0,0.00244,0,0,0,0,0,0,0,0,0,0.10041,0,0,0,0,0,0,0,0,0,0.01475,0.01353,0.02919,0.0536,0.14889,0,0,0,0,0.02178,0,0,0,0,0,0,0,0.16939,0,0,0,0,0,0,0,0,0,0,0,0.00403,0,0,0,0,0,0,0.00176,0,0,0,0,0,0,0,0.03658,0,0,0,0
g__GGB9621,,0.13325,0.00533,0,0.06702,0.15535,0.14811,0.06475,0.04604,0,0,0,0,0.2017,0,0,0,0.37802,0,0,0.03813,0,0.03266,0.04193,0,0,0.01126,0,0,0,0.00063,0.1955,0,0,0.03891,0,0.09693,0.00863,0,0,0.19602,0.03946,0.03278,0.13136,0,0,0,0,0.03647,0.15131,0.10703,0,0,0,0,0,0,0,0,0,0.01268,0.31161,0.04128,0,0,0,0.01174,0,0.07141,0,0.04671,0.22176,0.10836,0,0.14659,0.14954,0,0,0,0.1407,0.03329,0,0,0,0,0.0616,0,0.06895,0,0.36392,0,0,0.01775,0.16599,0,0.09163,0,0.02271,0,0,0.42155,0,0,0.07204,0,0.12606,0,0.00174,0,0,0,0,0.15201,0.00914,0.46218,0,0.01019,0.06623,0.04706,0.31141,0.02151,0,0.51972,0,0,0.15838
g__Acinetobacter,,0.13145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31011,0,0,0,0,0.29806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02986,0,0,0,0,0.00363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14321,0,0,0
g__GGB9186,,0.11204,0.00945,0.00518,0.01518,0,0.14092,0,0,0,0,0.2738,0.01112,0.16237,0.09128,0.09487,0,0.0091,0.52075,0,0,0.06817,0,0.02031,0,0,0,0,0,0,0,0,0,0.14156,0.01729,0.50511,0,0,0,0,0,0,0,0.43066,0.05348,0,0,0,1.04685,0,0,0,0,0,0,0.13533,0.00347,0.21227,0,0,0.09172,0,0,0,0,0,0.01293,0.13971,0,0,0.09923,0,0.21182,0.11783,0,0,0,0,0,0.21613,0.16473,0,0,0.17798,0,0,0,0,0,0,0.03368,0,0.0532,0,0,0.05456,0.2049,0,0,0,0,0.14057,0,0.00474,0,0,0,0.03972,0.05747,0,0,0,0,0,0,0.07308,0,0,0.53636,0.18283,0,0.67014,0,0.02494,0,0.00566
g__GGB14025,,0.09859,0.12043,0.08844,0.02001,0.28261,0.22752,0.1779,0.0192,0.00321,0,0,0.00751,0,0,0.25549,0.07995,0.09816,0.27122,0,0,0.2649,0,0.0183,0,0,0.02428,0.01171,0,0,0.02502,0.09392,0,0,0.05523,1.08009,0.29563,0,0,0,0,0.15521,0,0.2539,0.79009,0.18475,0.16457,0,0.39199,0,0.05248,0,0,0,0,0,0.06574,0,0.01167,0,0.06796,0.05097,0,0,0,0.0981,0.03827,0,0,0,0.2374,0.03207,0.22366,0,0.30955,0,0,0.37664,0,0.09792,0.29053,0,0,0,0,0,0,0,0,0.07207,0,0,0.31997,0.08281,0,0.28738,0.18965,0.04378,0,0,0,0.02472,0,0.1111,0,0,0.20887,0,0.75148,0.24348,0.07439,0,0.10304,0.65809,0,0.14417,0.14485,0,0.19981,0,0.26798,0.83333,0,0.14439,0,0
g__Latilactobacillus,,0.07782,0,0.02673,0.0397,0,0,0,0,0.0565,0,0.02928,0.07435,0,0.28309,0,0,0,0.09695,0.54797,0,0,0,0,0,0,0,0,0,0,0,0.00193,0,0.0129,0,0.03862,0,0,0,0.08136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02106,0,0,0.0612,0.0009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38008,0,0,0.00701,0,0,0,0,0.06326,0,0.06774,0,0,0,0,0,0,0,0.01735,0,0,0,0.14797,0,0,0,0.01043,0,0,0,0,0.36824,0,0,0.02285,0,0.00116,0.00362,0.00601,0.05358,0,0,0,0
g__Pseudoflavonifractor,,0.06797,0.01149,0,0.07481,0,0,0,0.02191,0.06483,0,0,0,0.94595,0.41656,0.10632,0.03302,0,0.00639,0,0.01434,0.0362,0,0.01098,0,0.00239,0.02853,0.02464,0,0.00659,0,0.2235,0.44598,0.40247,0.00114,0.00266,0.0392,0,0.01672,0.04462,0.19341,0.01252,0,0.00151,1.15469,0.7644,0.02706,0.05787,0.21743,0,0,0,0,0,0,0,0,0,0.01101,0.02577,0.79729,0.00106,0,0,0.02192,0.00511,0.00774,0.02329,0,0,0.10712,0,0.279,0.07866,0.17647,0,0,1.19368,0,0.02381,0.43744,0,0,0.10632,0,0,0.15095,0.13731,0.00982,0,0,0,0.02611,0.06222,0.39806,0.34108,0.23395,0,0,0,0.48796,0,0,0.31734,0.02451,0.04226,0.25028,0.04464,0.04718,0.08773,0,0,0.01271,0.22801,0,0.0051,0,0,0.06258,0.26712,0.00544,0.528,0,0.04701,0.01353,0.00874
g__GGB79652,,0.06164,0,0,0,0,0,0,0,0,0,0.04233,0,0,0,0,0,0,0.08523,0,0,0,0,0,0,0,0,0.21899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13499,0,0,0,0,0,0.20346,0.15337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00683,0.25998,0,0,0,0,0,0,0,0,0,0,0.06865,0,0.128,0,0,0,0.05378,0,0,0,0,0,0,0,0,0,0.02995,0,0
g__GGB9452,,0.06105,0,0,0,0,0.13799,0,0,0,0,0,0,0.11436,0.46481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1299,0,0,0,0,0,0,0,0,0,0.67913,0,0,0,0,1.70272,0,0,0,0,0,0,0,0.67494,0,0,0,0,0,0,0,0,0,0.00708,0,0,0,4.07948,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06677,0,0,0,0,1.20079,0,0,0,0,0.38678,0,0,1.22823,0,0,0,0
g__GGB9770,,0.06032,0,0.01837,0.01659,0,0.01587,0.0391,0,0,0,0,0,0,0,0.10567,0,0,0,0,0.07224,0.23557,0,0,0,0,0,0.03274,0,0,0.0192,0,0,0,0.00573,0,0.10496,0,0,0,0,0,0,0,0,0.12501,0,0,0,0,0,0,0,0,0,0,0.04106,0,0,0,2.50658,0,0.02248,0,0,0,0,0.07596,0,0,0.51629,0,0.03254,0.09602,0.01034,0,0,0.10457,0,0,0.91128,0,0,0.00757,0,0,0,0,0,0,0.0298,0.0045,0.02445,0,0,0,0,0,0,0,0,0.11033,0,0.02384,0,0,0,0.25205,0.0489,0,0,0,0,0,0,0.08748,0,0,0.02532,0,0,0.01531,0,0.01044,0,0
g__GGB3534,,0.05458,0,0,0.00096,0,0.00944,0.02777,0.00234,0,0,0.06566,0,0.14194,0,0,0,0,0.02514,0,0,0.00774,0,0,0,0,0.02703,0.03885,0.08099,0,0,0.05184,0.03777,0.04019,0,0.05603,0.02437,0.00039,0.0802,0.05507,0.00761,0.01888,0,0.00437,0.05695,0.00927,0,0.12231,0.01971,0.00167,0,0,0,0,0,0,0,0,0.06043,0,0,0,0,0,0,0,0,0.02442,0,0,0.0866,0,0.04149,0,0.02227,0.0024,0,0.0083,0,0.07335,0.07324,0.41006,0,0.02785,0,0,0.013,0.02293,0.06326,0.00222,0.00117,0.00077,0.01175,0.03743,0.10747,0,0.0419,0,0,0,0.01057,0.00289,0,0.0252,0.00185,0,0.06501,0,0,0.07819,0,0,0.00614,0.00871,0,0,0.00426,0,0.00194,0.0131,0.02085,0.11233,0,0,0.00289,0
g__GGB9765,,0.05298,0.03052,0.00412,0.35384,0,0.28009,0.35418,0.17598,0,0,0,0,0.07635,0.01437,0.13222,0.00967,0,0.00673,0,0.17715,0.06517,0,0,0,0,0,0.10277,0,0,0,0.00138,0,0,0.10689,0,0.89306,0,0,0,0.0035,0,0,0,0,0.38616,0,0,0,0,0.01206,0,0,0,0,0,0.11141,0,0,0,0.10945,0,0.06969,0,0,0.00199,0.00706,0.07897,0,0,0.10195,0,0.04774,0,0.13437,0,0,0,0,0,0.3159,0,0,0.07695,0,0,0,0,0,0,0,0,0.02194,0,0,0,0,0.09753,0,0,0.07085,0.01264,0,0.02103,0,0,0,0.23121,0,0,0,0,0,0.00856,0,0.01758,0,0,0.01139,0,0,0.18901,0.03876,0.06041,0,0
g__GGB3678,,0.05089,0,0,0,0,0.53727,0,0,0,0,0,0.01422,0.11594,0,0,0.05427,0,0,0,0,0.01032,0,0,0,0,0,0,0,0.41292,0,0,0.24679,0,0.00389,0,0,0,0,0,0.00407,0,0,0,0,0,0,0.61143,0,0,0.00925,0,0,0,0,0,0,0,0.04541,0,0.03152,0,0,0,0,0,0,0.09127,0,0,0,0,0.06957,0,0.21134,0,0,0.22636,0,0.04062,0.10447,0.15224,0,0,0,0,0,0,0,0,0.05987,0,0,0,0,0,0.84121,0,0,0,0.02602,0,0,0.02372,0,0,0.37561,0,0.01616,0.03435,0,0,0.05235,0.21611,0,0,0,0,0.04936,0,0.1551,0.04212,0.19641,0.33369,0,0
g__GGB74802,,0.04693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06802,0,0,0,0,0,0.46346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00325,0,0,0,0,1.21742,0,0,0,0,0,0,0,0.00127,0.33105,0,0.01039,0,0,0,0,0,0,0,0,0,0,0,0.00158,0,0,0,0,0.21203,0,0,0,0,0,0.09254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB3538,,0.04454,0,0,0,0.05459,0.00806,0.03271,0,0,0,0,0,0.89349,0.12156,0,0.00472,0,0.03499,0,0.01408,0,0,0,0,0,0,0,0.08801,0.38538,0.01296,0.06983,0.04509,0.02676,0,0,0,0.01328,0,0,0.03945,0,0,0,0.03215,0.02297,0,0.05383,0,0,0,0,0,0,0,0,0,0,0.17115,0.02721,0,0,0.01652,0,0,0,0.02395,0,0,0,0.02401,0,0.32705,0,0.1343,0.14974,0.05694,0,0,0,0,0,0.09228,0.00373,0.00502,0.05951,0.04577,0.0113,0.07677,0,0.01167,0.00637,0.00851,0.05564,0.04119,0,0.04255,0,0,0,0.15193,0,0,0.04012,0,0,0.21172,0,0,0.09014,0,0,0.10956,0.03675,0,0,0,0,0.04425,0.10757,0.03165,0.04367,0,0,0.00482,0
g__Candidatus_Alangreenwoodia,,0.0439,0,0,0.12076,0.11572,0,0,0,0,0,0,0,0,0,0,0.00222,0,0.16334,0,0,0,0,0.10957,0,0,0,0,0,0.03481,0,0,0,0,0.10857,0,0,0,0,0,0,0,0,0,0,0,0,0.26964,0,0.00985,0,0,0,0,0,0,0,0,0.13032,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18886,0,0,0,0,0,0,0.12751,0.12263,0,0,0,0,0,0,0,0,0.1061,0,0,0.03599,0,0,0,0,0.18642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15444,0.09481,0.26252,0,0,0,0,0
g__GGB3817,,0.04345,0,0,0,0,0.01349,0,0,0,0,0,0,0,0.00616,0,0,0,0,0,0,0,0,0,0,0.04179,0.17329,0,0,0.2178,0,0,0,0,0,0.00992,0,0,0.01076,0.05413,0,0,0,0,0,0,0,0.02325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11835,0,0,0,0,0.0758,0,0,0,0,0.06977,0,0,0,0.40442,0,0.03563,0,0,0,0,0,0,0,0,0,0,0,0.03449,0,0,0,0,0,0,0,0,0,0,0,0,0.07839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB3463,,0.03226,0,0,0,0,0,0,0,0.02266,0,0.533,0,0,0,0,0,0,0.0544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17371,0,0,0,0,0,0.03609,0,0,0.04075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05272,0,0,0,0,0,0,0,0,0,0,0,0.03096,0.03126,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00265,0,0,0.01194,0,0.00326,0,0.0177,0.0738,0,0.01176,0,0.01019
g__GGB45599,,0.02714,0,0,0.00797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02005,0,0.05761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21795,0,0,0,0,0,0,0,0,0.01813,0,0,0,0.04178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Massilioclostridium,,0.0263,0,0,0.01298,0.02653,0,0.03211,0.0185,0,0.0051,0,0.0063,0.08801,0,0.0362,0,0,0,0,0.02015,0,0.00144,0,0,0,0.02601,0.03686,0,0.00636,0.00214,0.01009,0.05283,0,0.00381,0,0.0392,0,0.01082,0,0.02566,0,0,0.03068,0.05636,0,0,0.10373,0,0,0.0115,0.00699,0,0.05332,0,0,0.03204,0.0148,0.02548,0,0,0.01692,0,0,0,0,0.01702,0.00528,0.20951,0,0,0,0.02893,0.01131,0.01312,0.02847,0,0,0.00497,0.08995,0,0,0,0.00434,0,0.01186,0.00051,0,0.02605,0,0.00468,0.0495,0.0003,0.03795,0.00298,0,0.01262,0.01424,0,0.02526,0.00074,0,0,0,0.00972,0,0,0.01555,0,0,0,0.01051,0,0,0,0.02726,0.00418,0.0049,0.02184,0.0424,0.04928,0,0.12373,0.01707,0.00215,0.01164
g__GGB9499,,0.02551,0,0,0.04276,0.02404,0,0,0,0,0,0,0,0,0,0,0,0,0.23686,0,0.01492,0,0,0.03378,0,0,0,0.11627,0,0.22217,0,0.03697,0.32992,0,0,0,0,0,0,0,0,0.12525,0,0,0,0.09811,0,0,0,0,0,0,0,0,0.04443,0,0,0,0.04447,0,0.01662,0,0,0,0,0,0,0,0,0,0,0,0.13095,0.01683,0,0,0,0,0,0,0,0,0,0.00615,0,0,0,0,0,0.05114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09915,0.00107,0,0,0,0,0.03772,0,0.05907,0,0.01329,0.00767,0,0,0,0,0,0.041,0.02945
g__GGB5201,,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__GGB3511,,0.01911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10716,0,0,0,0,0,0,0.05139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01138,0,0,0,0,0,0.09776,0,0,0,0,0,0,0,0,0,0.02347,0,0,0,0,0,0.00493,0,0,0,0,0,0,0,0,0,0,0,0,0.0685,0,0,0,0,0,0,0,0,0,0,0.01475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00419
g__GGB45491,,0.019,0,0,0.00766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01381,0,0,0,0,0,0,0.01841,0,0.02662,0,0,0,0,0,0,0,0.68829,0.01547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02761,0,0,0,0,0,0,0.0181,0,0,0,0,0.00315,0,0,0,0,0,0,0.02447,0.01488,0,0,0.00475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00813,0.11192,0,0,0,0,0,0,0.00228,0,0,0,0.00166,0,0.01332,0,0.01362,0,0
g__GGB3002,,0.01768,0,0,0.02405,0,0.44586,0,0,0,0,0,0,0,0,0.28027,0.00135,0.00159,0.00649,0,0,0.08485,0,0.07093,0,0,0,0,0,0,0,0,0,0,0.03063,0,0.00063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01584,0,0,0.01229,0,0,0,0,0,0,0.10922,0,0,0.26202,0,0,0.00401,0.14075,0,0,0,0,0.11065,0.07736,0,0,0,0,0,0,0,0,0,0,0,0.01308,0,0,0.17614,0,0,0,0,0,0.03338,0,0,0,0,0,0,0.0581,0,0,0,0,0,0,0.01297,0,0,0,0,0,0.01435,0,0,0,0
g__Intestinimonas,,0.01767,0,0.06036,0.03665,0,0,0.0021,0.00037,0,0,0,0,0.35518,0.02439,0.16931,0,0,0,0,0.09898,0,0,0.01811,0.07374,0.01991,0,0.04753,0,0.09114,0,0.30933,0.19458,0,0.00463,0,0,0,0.12558,0,0,0,0,0,0,0,0.00351,0,0,0,0,0.00109,0,0,0,0,0.32076,0,0,0,1.11198,0,0.00043,0,0,0,0,0,0,0,0.26934,0,0,0.18428,0.00354,0.01129,0,0,0.03296,0,0.34835,0,0,0.55799,0,0,0,0.00256,0.03766,0,0.00777,0,0.00738,0,0.15736,0,0.02312,0.01377,0,0,0,0,0.04297,0.04709,0.07698,0,0.08534,0,0,0.19657,0,0,0.02853,0,0,0.07223,0,0,0.00594,0,0.02587,0,0,0.02393,0,0
