Abundance,1000IBD00384,1000IBD00593,1000IBD00198,1000IBD00476,1000IBD00087,1000IBD00560,1000IBD00590,1000IBD00197,1000IBD00700,1000IBD00667,1000IBD00438,1000IBD00230,1000IBD00715,1000IBD00708,1000IBD00236,1000IBD00322,1000IBD00048,1000IBD00216,1000IBD00698,1000IBD00597,1000IBD00720,1000IBD00076,1000IBD00232,1000IBD00662,1000IBD00361,1000IBD00672,1000IBD00074,1000IBD00084,1000IBD00611,1000IBD00612,1000IBD00174,1000IBD00154,1000IBD00249,1000IBD00157,1000IBD00349,1000IBD00250,1000IBD00588,1000IBD00149,1000IBD00371,1000IBD00705,1000IBD00394,1000IBD00001,1000IBD00480,1000IBD00313,1000IBD00691,1000IBD00037,1000IBD00025,1000IBD00393,1000IBD00497,1000IBD00088,1000IBD00137,1000IBD00177,1000IBD01330,1000IBD00487,1000IBD00004,1000IBD00531,1000IBD00208,1000IBD00976,1000IBD00375,1000IBD00134,1000IBD00628,1000IBD00453,1000IBD00327,1000IBD00193,1000IBD00675,1000IBD00358,1000IBD00511,1000IBD01011,1000IBD00467,1000IBD00370,1000IBD00683,1000IBD00078,1000IBD00470,1000IBD00529,1000IBD00172,1000IBD00546,1000IBD00490,1000IBD00235,1000IBD00171,1000IBD00450,1000IBD00196,1000IBD00586,1000IBD00252,1000IBD00710,1000IBD00365,1000IBD00616,1000IBD00579,1000IBD00067,1000IBD00673,1000IBD00184,1000IBD00167,1000IBD00237,1000IBD00389,1000IBD00049,1000IBD00031,1000IBD00266,1000IBD00541,1000IBD00427,1000IBD00426,1000IBD00653,1000IBD00539,1000IBD00403,1000IBD00239,1000IBD00722,1000IBD00058,1000IBD00428,1000IBD00502,1000IBD00639,1000IBD00095,1000IBD00606,1000IBD00206,1000IBD00341,1000IBD00379,1000IBD00347,1000IBD01328,1000IBD00146,1000IBD00640,1000IBD00431,1000IBD00444,1000IBD00412,1000IBD00526,1000IBD00475,1000IBD00122,1000IBD00099,1000IBD00433,1000IBD00693
c__Coriobacteriia,5.40221,10.85515,2.77996,3.25627,6.43918,4.44291,3.75205,1.52093,0.87674,3.04247,2.6249,10.27436,13.70297,3.38084,0.43399,3.77909,5.14807,3.96416,3.93547,11.61619,2.63534,2.73484,1.91721,8.06051,1.05878,2.26988,8.75745,5.29072,0.24549,3.09526,4.64872,3.76981,8.74734,4.66848,4.69742,14.07852,6.86249,3.39411,3.79269,1.13291,4.19389,4.72371,2.02909,5.29962,9.69024,5.39206,2.72978,2.09427,6.50483,4.46231,4.15477,4.71607,7.09078,1.3101,3.27584,1.37889,4.10914,4.79943,5.56627,2.3169,14.57446,1.95933,2.19917,4.5796,4.62888,3.23682,1.81794,3.72883,6.64785,3.33715,3.19259,4.62779,0.55618,5.07197,5.33144,3.7544,2.22966,4.87014,0.73573,10.18671,5.47413,0.31046,3.96666,4.16218,5.53018,2.16605,5.0543,4.0533,1.17965,5.06839,4.06642,3.78717,5.28564,4.29621,0.52487,9.82872,1.07526,2.45669,9.29687,8.25953,3.56352,3.86064,1.4825,3.4483,5.96659,5.62416,2.4673,4.39208,3.17031,1.79962,2.35927,6.00054,0.61341,1.28636,1.11784,9.22294,4.59238,2.18973,5.02986,3.49465,8.92062,7.11681,10.77242,2.95799,6.62386,4.7749
c__CFGB38642,2.79476,0.05298,2.78988,0.75984,0.89782,0,0.28009,0.35418,0.7101,0,0.22707,0,0,0.07635,0.01437,0.13222,0.00967,0.16709,0.00673,0,0.17715,0.06517,0,4.02269,0,0,0,0.16022,0,0,0,0.00403,0,0,0.10689,0,1.77335,0,0,0,0.0035,1.44612,0,0.1747,0,0.38616,0,0,0,0,0.01206,0,0,0,0,0.82337,1.20325,0,0,0,0.19164,0,0.06969,0,0,2.45261,0.43814,0.07897,0,0,0.10195,0,0.04774,0,0.13437,0.04824,0,0,0,0,0.3159,0,0,1.06456,0,0,0.12618,0,0,0.00742,0,0,0.03575,0,0,0,0,2.84112,0,0,0.07085,0.01264,2.04865,0.02103,0,0,0,1.06641,0,0,0.25336,0,0,0.00856,0,0.01758,0,0.70318,0.01139,0,0,0.18901,0.03876,2.03637,0,0
c__Negativicutes,1.57219,0.36871,1.10847,0,1.38946,0.7448,1.26823,0.07139,2.1134,3.39364,0.41953,17.80527,5.04745,0.22245,2.35555,2.20249,0.33397,1.79536,1.97476,2.51103,2.14581,0.8111,0.11637,4.16089,3.55459,2.39107,5.24422,1.18148,4.7484,2.37591,0.04904,0.60269,0,1.42196,1.12696,0.59854,1.98404,1.56234,3.34169,0,1.43262,1.60914,1.63821,1.60618,1.39242,0.80473,1.89837,3.86584,0.95915,5.0241,1.21383,2.36844,7.34082,9.90415,2.09464,4.22999,0.77618,2.19285,1.94095,3.20855,0,3.72372,0.85429,5.98926,7.45394,2.31742,2.33242,2.10321,4.21151,0.8337,2.94956,9.0339,1.80782,0.12194,2.43525,1.34554,9.69993,3.53082,1.59809,0.25977,2.58232,7.62149,2.06283,2.50055,0.8771,3.39037,5.55283,1.14605,1.64312,1.20925,4.34196,1.13123,1.89594,4.11521,2.08654,4.80711,4.57696,0.28629,0,0.06,2.79603,2.53169,0.11992,0.31562,2.85157,2.06463,1.5997,3.38453,4.24,0,4.50754,2.09124,5.57536,0.85966,4.24576,1.34192,6.66827,2.26609,2.58872,0.93046,1.67733,1.15543,1.74291,0.737,1.54572,2.44445
c__CFGB76763,1.12687,0,0.00449,0,0.53159,0,0,0.28242,0,0,0,0.34643,0.08818,0,0,1.41571,0,1.44628,0.56238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00999,0,0.18208,0,0,0,0,0,0.78649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02915,0,0,0,0,0.25112,0,0,0,0,0,0,0,0,0.06455,0,0.17711,0,0,0,0,0,0,0,0,0,0,0,0.02814,0,0,0,0,0.04063,0,0,0
c__Bacilli,0.59952,0.3079,6.24072,2.8973,5.65153,10.72784,0.64108,0.26772,0.1807,2.85139,1.7688,0.15899,5.33311,8.77848,3.98042,3.27967,1.06774,0.55289,0.53277,24.14488,3.05874,3.93822,5.25523,0.57383,1.02807,0.212,0.15332,4.08379,2.2046,1.16926,18.63926,5.75003,3.89858,8.71991,1.78185,3.88118,1.42557,0.86797,3.70658,32.03745,0.4462,1.40095,0.45424,1.12858,1.03736,1.82984,1.59634,0.42489,0.21165,0.12449,25.46254,1.40728,9.41359,0.53181,0.49096,1.62977,4.61722,8.2425,1.5295,0.07966,3.20767,0.01923,4.04065,27.6453,1.62662,2.87679,1.78413,12.14773,0.06097,0.0222,3.37661,6.93094,0.52234,0.30291,0.44953,3.59613,0.83281,3.03961,18.70502,1.06874,1.29914,8.12779,2.64875,1.80837,0.13733,1.2299,14.42279,1.90974,0.54884,14.92618,3.04304,0.99037,11.78901,9.61706,0.45685,2.85746,4.00198,3.07094,0.20508,0.3823,2.89493,0.28969,1.17167,6.08244,1.46594,0.05338,0.00105,2.83483,3.07284,1.77534,2.98128,13.57851,1.24053,4.84749,2.28601,3.51833,0.16201,1.9085,0.13344,0.51839,0.50578,2.84669,0.37057,3.9349,0.50637,0.17009
c__CFGB76352,0.44632,0,0.26821,0,0,0,0.13982,0.025,0,0,0,0,0,1.88082,0,0,0.8453,0,0.49034,0,0.2511,0,0,0.09507,0,0,0.23544,0,0,0,0,0,0.14247,0,0.23819,0,0,0,0,0,0,1.34737,0,0.18197,0,0.01114,0,0,0,0,0,0.05781,0,0,2.98445,0.3385,0,0,0,0,1.28338,0,0,0,0,0,0.82679,0,0,0,0.00649,0,0.01194,0,0,0,0,0,0,0,0.02669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01307,0,0,0,0,0,0,0,0,0,0.39144,0,0,0,0,0,0.87026,0,0,0,0.38452,0,0,0,0,0,0.20544,0.19936,0
c__Betaproteobacteria,0.34365,0,0.41678,1.69948,0.01523,0.01362,0.0625,0.01801,0.25999,0,0.19768,0.08889,0.17182,0.23424,0,0.42655,0.26255,0.09932,0.05536,0.8012,0.00259,0.06759,0,0.01677,0.59832,0.46549,0,0,0.80957,0,0,0.05859,0.27442,0.22841,0.23778,0.02891,0,0.17278,0.6315,0,0.02224,0.26532,0.61027,0.47447,0,0.20719,0.14779,0.03583,0.12899,0.69652,0.04087,0.07348,0,0,0.95747,0.71276,5.65194,0.04617,0.25254,0.49607,2.06073,1.49661,0.19515,0.03444,0.33029,0.07685,0.17102,0.01143,3.15352,2.56893,0.29951,0,0.17437,0.02196,0.02536,0.71444,0,0.81119,0.59725,0.24424,0.03048,0.36156,0.21582,0.43355,0.33916,0.56193,1.18291,0.44325,0,0.05982,0,0.09783,0.00761,0.01406,0.09918,0.0486,0.34648,0.03348,0,0,0.0034,0.16377,0.41007,0.02708,0.59718,0.50851,0.47324,0.03708,0.02065,0.34499,0.29177,0.20686,0.04924,0,0.47242,0.02451,2.65193,0.26633,0.294,0.38689,0.05131,0.82113,0.01494,0.318,0.0762,0.08711
c__Erysipelotrichia,0.27614,0.03592,0.01921,2.37333,2.07159,5.73987,1.17615,2.03921,0.73283,0.28949,2.21288,0.87927,0.31832,0.16226,2.01842,0,0.14052,0.43189,0.5491,2.64668,0.38332,1.38916,0.27597,0.05102,0.4697,0.22333,4.9723,2.1496,0.43914,0.63722,0,0.2877,0.25511,0.00287,0.73476,7.73567,10.46534,0.05187,0.239,2.58581,0.58628,1.27468,0.27309,8.15669,0.38521,0.13015,0.02849,2.73283,0.09639,0.90285,0.93647,1.87027,2.98835,1.02284,0.1887,0.45894,1.05773,0.39785,0.4034,1.02572,3.80175,0.69639,0.44231,4.30754,0.29056,0.23142,0.25541,0.02157,1.27809,1.51867,0.18224,0.32993,5.45542,1.30074,8.57704,1.10014,1.67706,0.69263,0,8.2466,1.26982,5.31125,0.08798,0.50913,2.7726,0.11418,0.19362,0.22988,2.72556,4.02779,5.94964,1.9239,2.61343,0.23077,0.26366,6.49536,1.17606,0.27962,6.99239,15.79783,1.52249,0.14773,0.22996,0.48108,2.28217,0.08609,0.76165,2.84482,7.27599,0.4891,2.39965,0.10933,0.39049,0.29427,0.12019,0.25967,0.11772,0.15022,0.44255,7.71237,3.75718,0.47328,2.76306,0.32795,0.89932,0.16051
c__CFGB3068,0.13355,0,0.30974,0.37457,0.14048,0.04711,0.7042,0,0,0,0.14656,0,0.04189,0,0,0,0,0.064,0,0,0.77069,0.02389,0.12577,0.07459,0,0,0,0.5739,0,0,0,0,0,0,0.11461,0,0.26237,0,0,0,0,0.31876,0.08889,0.11264,0,0,0,0,0,0,0.02587,0,0,0,0.03415,0,0.31889,0,0.12009,0.14415,0,0,0.14454,0.08947,0,0.18832,0.14073,0,0.10461,0,0,0,0,0.08673,0,0.15538,0,0,0,0.05188,0,0,0.05722,0.06798,0.03113,0,0,0.01448,0,0.04999,0.08318,0,0.11828,0,0.04742,0,0,0.5846,0,0,0.20027,0,0.21596,0.07237,0,0,0,0.14621,0.03057,0,0.26459,0,0,0.4414,0,0,0,0.14329,0,0.24224,0.64114,0,0.05161,0.51252,0.12459,0
c__CFGB15212,0.12139,0,0,0,0,0,0,0,0,0,0,0,0,0.02016,0,0,0,0,0,0,0,0.01954,0,0,0,0,0.12056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05402,0,0,0,0,0,0,0.06246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11394,0,0,0,0,0,0,0.0909,0,0,0,0,0,0,0,0,0,0,0,0.07057,0,0,0,0,0,0,0,0,0.07329,0,0,0,0,0,0,0.07486,0,0,0,0,0,0.00878,0,0
