Abundance,CSM7KOR4,CSM5MCU4,PSM6XBVY,CSM79HJC,HSM7CZ2V,HSM5MD4P,PSM6XBTJ,CSM5MCVB,PSM7J1BN,PSM6XBTH,HSM5MD4W,HSMA33NG,CSM5MCXZ,MSM5LLH2,MSM5LLF2,CSM5MCV1,PSM7J1CK,CSM67UB5,CSM67UH3,MSM5LLHG,HSM5MD4U,CSM5MCVD,CSM5MCVF,ESM5GEYX,PSM6XBS2,HSM5MD7W,CSM5FZ3V,PSM6XBS4,MSM9VZM4,MSM5LLGN,CSM79HJI,PSM7J1CS,MSM5LLI2,CSM79HJ6,CSM5FZ46,PSM7J13U,CSM67UCU,HSM5MD8J,CSM5FZ3R,MSM5LLIC,MSM5LLI4,CSM5MCV5,CSM5MCW4,MSM5LLGR,MSM5LLII,HSM5MEE5,HSM67VCX,PSM6XBS6,HSM5FZBP,PSM6XBTN,MSM5LLHR,CSM67UB7,ESM718U9,MSM5LLIG,HSM5FZBR,HSM5MD8F,MSM5LLD6,ESM5GEYW,MSM633FF,ESM7F5AE,CSM7KOR8,HSM6XRQB,MSM5LLHQ,PSMA2651,ESM5ME9D,CSM79HJ8,MSM5LLHE,MSM5FZ9X,MSM5LLHI,PSM7J149,CSM79HJ2,CSM5FZ42,CSM7KOQP,HSM5FZC2,HSM5MD5K,MSM9VZLX,CSM5MCVZ,HSM7CYWS,CSM5MCWK,CSM79HHW,CSM5MCWI,CSM67UAI,HSM5MD5X,CSM7KOQZ,CSM5YRY7,CSM7KOKP,MSM5FZ9Q,ESM5GEYY,MSM5LLIM,MSM5FZ9V,MSM5LLIK,MSM5LLGD,MSM5LLE9,MSM5LLHX,MSM5LLI8,HSM7J4JW,MSM5LLIE,CSM5MCWA,CSM5MCXF,PSM7J13Y,CSM7KOKH,ESM5MEBA,MSM5LLGJ,CSM79HJ4,MSM5FZ9N,ESM5MEDP,PSM6XBQM,MSM5LLFG,MSM5LLGH,CSM79HNY,CSM67UB9,ESM5MEE2,CSM67U9V,CSM5MCVJ,MSM79HBX,CSM5FZ3Z,CSM5FZ3X,PSM7J1B3,PSM6XBRM,MSM5LLHA,HSM5FZBQ,MSM9VZJJ,ESM5ME9G,HSM7J4Q3,PSM6XBRK,CSM5MCXX,ESM5MEE6,HSM5MD4B,ESM5MEDZ,HSM5MD4A,CSM5FZ44,MSM5LLI6,PSM7J1CO,CSM5LLGB,CSM79HG7,ESM5MEB9,HSM5MD5H,MSM5LLGF,CSM5MCVV,MSM5ZOJY,CSM79HH2,MSM6J2RG,MSM5LLE3,PSM7J143,CSM5FZ3T,HSM5MD3L,MSM5LLH8,HSM5MD7Z,PSM6XBTF,CSM5FZ3N,MSM5LLHO,CSM67U9X,MSM5LLIS,CSM5FZ4C,CSM7KOKL,HSM67VIJ,MSM5FZA2,HSM5MD49,MSM5LLH4,PSM6XBSC
s__Lawsonibacter_asaccharolyticus,0.06333,0,0.00121,0,0,0,0,0,0,0,0,0.03396,0,0,0,0,0,0,0,0.02976,0,0.04293,0.22268,0,0,0,0.16846,0,0,0.0433,0.00395,0,0.00819,0.03862,0,0,0.01393,0,0.22944,0.02372,0.08095,0,0,0.2472,0,0,0,0,0,0.02776,0.05453,0.15113,0,0,0,0.02956,0.09642,0,0,0.05086,0,0,0.0464,0.05383,0,0.04719,0,0,0.03036,0,0,0,0,0,0,0,0,0,0.03535,0.04188,0.1885,0,0,0.00399,0.12415,0,0.03069,0,0.01161,0,0.07777,0,0,0.10173,0.08995,0.04412,0,0,0,0,0,0,0,0.08889,0,0,0,0.22874,0,0.20749,0.01351,0,0,0,0.01602,0,0,0.02322,0,0.06795,0,0,0,0,0.0036,0.06335,0,0,0,0.17672,0,0.05016,0,0,0.11751,0,0,0,0.35181,0,0.01137,0,0,0,0,0,0.05188,0,0,0.1654,0,0,0.0133,0.34066,0,0,0,0.08373,0.08852,0
s__Lacrimispora_celerecrescens,0.06221,0,0.21302,0.09816,0,0.25519,0,0,0,0.06206,0,0.04311,0,0.00269,0,0,0.08517,0.05921,0,0,0,0.02368,0.09305,0.09127,0.09248,0,0,0.56482,0,0,0,0,0,0,0,0,0,0,0,0.03269,0,0,0,0,0,0.03851,0,0,0,0.05416,0,0.20613,0,0,0,0,0,0.04521,0,0.02633,0.03363,0.04088,0,0,0.01435,0.25012,0,0.5392,0,0,0.10779,0,0,0,0,0.00511,0,0.02329,0,0,0.02388,0,0,0.01595,0,0.37709,0,0,0,0.89994,0,0,0,0,0,0.01009,0,0.01314,0,0,0.03609,0,0,0.00343,0.50314,0,0,0,0.03892,0,0.10746,0.12024,0,0,0.52484,0,0,0,0,0,0,0,0,0.22218,0.18019,0,0.16783,0,0.22731,0,0,0,0,0.194,0.18725,0.00126,0,0.01342,0.28138,0.99469,0,0,0.54917,0,0,0.17769,0,0.02596,0.01211,0,0,0.3271,0,0,0,0,0.23009,0,0,0
s__Bilophila_wadsworthia,0.06157,0,0.14952,0.02728,0.23351,0,0,0,0,0.01518,0,0,0,0,0,0,0,0.05003,0,0.05526,0,0.00159,0,0.00472,0,0.00063,0,0,0,0.09971,0.07789,0,0.02851,0.07601,0,0,0,0.18266,0,0.37808,0.02478,0,0,0.70261,0,0.01071,0,0,0.09993,0.01525,0.70342,0.35,0.75902,0,0.08906,0.16305,0,0.28313,0,0.01296,0.11072,0,0,0,0.13658,0.05045,0,0,0.07214,0,0.06313,0,0,0.11391,0,0.26222,0,0,0.34,0.11325,0,0,0.00777,0.05085,0,0.46442,0,0.34997,0.00279,0,0,0.13514,0,0.00158,0.02402,0.82123,0.00575,0,0,0,0.10935,0.1506,0,0.52011,0,0.0062,0.09286,0.7808,0.06344,0,0,0.00825,0,0,0.0318,0,0,0.01792,0.03676,0,0,0,0.10878,0,0.12882,0.23701,0.07272,0,0.15429,0,0,0.06843,0,0,0,0.00613,0.22717,0.07814,0,0,0.10027,0,0,0,0,1.37375,0,0.06779,0,0,0.20191,0.01252,0,0,0.1333,0.20396,0,0,0.00944,0
s__Clostridiales_bacterium,0.05954,0.70657,0.32462,0,0.04137,0.1059,0,0,0,0.03725,0,0,0.04054,0,0,0,0,0.00466,0,0.02681,0,0.24703,0.32424,0,0,0,0.12026,0,0,0.11016,0,0,0.32441,0.00288,0,0,0,0.82252,0.30259,0.03191,0.30632,0,0.21664,0.61113,0,0,0.02877,0,0,0.32449,0.08718,0.1015,0,0.02377,0,0.20135,0.15576,0.01443,0,0.08443,0.10527,0.01037,0.24334,0.25138,0,0.16731,0,0,0.04143,0,0,0,0,0,0,0.17622,0.26217,0,0.17451,0.14079,0.21157,0,0.04864,0.02556,0.13136,0.05579,0,0.16735,0.08858,0,0.07809,0,0,0.17505,0.51584,0.42642,0.12287,0.01259,0,0,0.0275,0,0,0.06243,0,0.00503,0.0103,0.54364,0,0.19476,0,0,0.12807,0,0.1185,0,0,0.02639,0.01463,0,0,0,0,0,0.20714,0.30293,0,0,0,0,0,0.90027,0,0,0.3009,0,0,0,0.81666,0,0.05583,0,0,0,0,0.29445,0,0.15085,0,0.2364,0.03342,0.0053,0,0.26826,0.00537,0.0194,0,0.00737,0,0
s__Blautia_faecis,0.05951,0.06984,0.13866,0.14718,0,0.08112,0,0,0,0,0,0,0,0,0,0,0.00631,0,0,0.05826,0,0.00721,0,0.01603,0.0052,0,0,0.12006,0,0,0.00641,0.09061,0.00575,0.05251,0,0,0.09335,0,0,0.08119,0.00234,0,0.63924,0.02254,0,0.01449,0,0,0,0.02151,0.16956,0.01403,0,0,0,0,0,0.18515,0,0.08767,0.03067,0.06671,0.00442,0.09134,0.12117,0.18185,0,0,0,0,0.19711,0.00173,0,0,0,0,0.05929,0,0.01518,0,0,0,0.04867,0.01667,0,0.81268,0,0,0.30112,0,0.03513,0.0007,0,0.00822,0.00227,0.03027,0.03021,0,0.07125,0.04136,0.25865,0,0.03275,0.01969,0.01119,0,0,0.15724,0,0,0,0.10643,0.03851,0,0.23559,0,0,0.03432,0.03281,0,0,0.04562,0,0.00999,0.02608,0.00184,0.15221,0.0144,0.10786,0.02868,0,0.01513,0,0.11639,0.07873,0.0251,0,0,0,0.06165,0,0,0,0,0,0,0,0,0.01796,0,0.03492,0.00911,0,0,0.16973,0.00123,0,0.24219,0,0
s__Clostridium_sp_AF20_17LB,0.05553,0,0,0.18938,0,0,0.03327,0.01192,0,0.49558,0,0.02524,0,0.37186,0,0,0.6753,0,0,0.01382,0,0,0,0,0.42672,0,0,0.9106,0,0,0.0467,0,0.33975,0.15824,0,0,0,0,0,0.02709,0.35099,0.47693,0,0.00321,0,0,0,0,0,0.48333,0.11265,0,0,0,0,0,0.28232,0,4.51308,0.05975,0.06306,0,0.26137,0.03976,0.03707,0.43435,0,0,0.03572,0,0,0,0,0,0,0.28679,0,0.27004,0,0,0,0,0.02259,0.08142,0,0.30614,0,0,0,0,0,0.49196,0,0.14256,0.04698,0.05605,0.03737,0,0.27319,0,0.05054,0,1.71413,0.0189,0,0,0.0589,0,0.89638,0,0,0.20644,0,0,0,0,0,0.03008,0.01523,0,0,0,0.11261,0.22006,0.56127,0,0.0485,0,0.91086,0,0,0.45745,0,1.76757,0,0,0,0.55675,0,3.40699,0,0,0,0,0,0,0,0.00899,0.43312,0,0.02153,0,0,0,0.3838,0,0,0,0,0.35607
s__Clostridium_sp_AM33_3,0.04875,0,0,0.10933,0,0.06081,0,0,0,0.05863,0,0,0,0.04094,0,0,0.27456,0,0,0,0,0,0,0,0.0873,0,0,0.17119,0,0.11651,0,0,0,0.05241,0,0,0,0,0,0.12489,0,0,0,0,0,0.02148,0,0,0,0.15298,0,0.05224,0,0,0,0,0,0,0,0.0274,0.01924,0,0,0.07243,0,0,0,0,0.00552,0,0,0,0,0,0,0,0,0.05783,0,0,0,0,0.08427,0.00265,0,0.07789,0,0.02497,0,0,0,0,0,0,0,0.05726,0.02409,0,0,0,0.0122,0,0,0,0,0,0.01201,0.021,0,0,0,0.07215,0,0,0,0,0,0,0,0,0,0,0,0.0119,0.13704,0,0.12511,0,0.03797,0,0,0,0,0,0,0.01295,0,0,0,0,0,0.00128,0,0,0,0,0,0,0.09851,0,0.02356,0.10539,0.01029,0,0.19064,0.01323,0,0,0.00195,0.04498
s__Candidatus_Cibionibacter_quicibialis,0.02903,0.53307,0,0.0439,0,0.33229,0,0,0,0.03662,0,0,0,0.06811,0,0,0,0,0,0.44442,0,0,0,1.44222,0.05715,0,0.01272,0.22507,0,0,0.12425,0.06701,0.15317,0.18417,0,0,0.66428,0,0.01187,0.16377,0.28665,0.09465,0.88364,0.23165,0,0,0.01339,0,0,0.1419,0.15698,0.05189,0,0.2101,0,0.0856,0.45287,0.35221,10.66102,0.01119,0.0605,0,0.1592,0.03674,0.00943,0.30468,0,1.7624,0.10746,0,0.04323,0,0,0,0,0,0.34188,0.01306,0.03841,0,0,0,0.02183,0.02838,0,0.37907,0.00189,0,0.26751,1.95831,0.21489,0.4471,0,0.27737,0.22135,0,0.1874,0.0005,0,0,0.01071,0,0.06866,0.00084,0,0,0,0,0.13038,0,0,0.1453,0.03954,0,1.25908,0,0,0,0.10653,0.02678,0,0.15718,0.13658,0.46185,0,0.02521,0.14067,0,0.04697,0,0,0.08965,0,2.92216,2.10656,0.06121,0,0.55684,0,3.05468,0.02456,0,0,0.00365,0,0,0.01426,0.00438,0.04316,0,0.219,0.09439,0,0,0.01739,0.18693,0.69074,0,0.01475,0
s__Ruminococcus_torques,0.02894,0.02837,0,0.04841,0.43836,0.09115,0,0,0,0,0.11057,0.09685,0,0.07444,0.02197,0.24829,0,0.03658,0,0.07855,0.79486,0.21182,0.21754,0.03908,0.00353,0.30646,0.05494,0.00143,0,0.31323,0.00751,0,0,0,0,0,0,0.0507,0.32317,0.07636,0,0,0.0935,0.82604,0,0,0.00726,0,0.63197,0.01066,0,0.04323,0,0,0.04071,3.03409,0,0.89186,0,0.17281,0,2.46909,0,0.1598,0,0.07775,0,0,0.03626,0,0.08596,0,0,0.04153,0.46439,0.11804,0.00402,0,0.16433,0,0.09479,0,0.66249,0.00607,0.11762,0.96636,0,0.51447,0.01067,0,0,0,4.5052,0,0,0.22126,0,0,0,0,0.04793,0,0,0.21395,0,0,0.20789,0.8016,0,0,0,0,0.08471,0,0.03346,0,0,0.00628,0.39732,0.01714,0,0.59669,0,0.00095,0.00272,0.07866,0,0,0,0,0,0,0,0,0,3.12277,0.17566,0,0.7479,0,0.02713,0.5032,2.11997,0,0,4.03638,0,0.06116,0.00447,0.55672,0,0.0813,0.00134,0.05059,0.40901,0.03936,0,0.25854,0.02418,0
s__Coprococcus_comes,0.02519,0,0.31162,0.30472,0.03553,0.0992,0,0,0,0.04338,0,0,0,0.0041,0,0,0.08361,0.01108,0,0,0,0,0,0.10944,0.11204,0,0,0.47923,0,0,0.00564,0,0,0.01314,0,0,0,0,0,0.06498,0,0.08816,0,0.01227,0,0.01175,0.04564,2.05723,0,0.1839,0.06484,0.09402,0,0.02204,0,0,0,0.29301,0,0.03656,0.00465,0.00789,0,0.02153,0.01704,0.19077,0,0,0,0,0.14461,0,0,0,0,0,0,0.10891,0,0,0,0,0.00961,0.01006,0,0.25401,0,0,0.171,0,0.03737,0,0,0,0,0,0.06263,0,0,0,0.02432,0,0,0.13012,0,0,0.01025,0,0.00417,0.0572,0,0.05898,0.01466,0,0,0,0,0.02074,0.04342,0,0,0,0,0,0.17042,0,0.02577,0,0.16832,0,0,0,0,0,0.20122,0.11568,0,0.0009,0,0,0.00377,0.05425,0,0,0,1.80212,0,0.02087,0.25365,0,0.00079,0.08191,0,0,1.75146,0,0,0,0,0.37626
s__Candidatus_Borkfalkia_ceftriaxoniphila,0.02439,0.1396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03109,0,0,0,0,0,0,0,0,0.11074,0,0,0,0,0,0,0,0,0.02815,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04432,0,0,0.06109,0,0,0,0,0,0,0,0.04446,0,0,0,0,0,0,0,0,0,0,0,0.03836,0,0.03711,0,0,0,0,0,0.00256,0,0,0,0,0,0,0,0,0.39631,0,0,0,0,0,0,0,0,0,0,0,0,0.02592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s__Eubacterium_ventriosum,0.0237,0,0,0.38876,0,0,0.85865,0.00379,0,2.45443,0,0.39259,0,0,0,0,1.00272,0,0,0.0481,0,0,0,0,0.81641,0,0,2.55729,0,0,0.01663,0,0,0,0,0,0.05993,0,0,0.79927,0,1.49581,0,0,0,0,0,0.42606,0,4.80099,0.1563,0,0,0,0,0,0,0.4247,0,0.04905,0.0142,0,0,0,0,0.24134,0,0,0.00404,0,0,0,0,0,0,0,0,0.69751,0.06712,0,0,0,0,0.61606,0,0.00497,0,0,0,0,0,0,0,0,0,0.21792,0.20332,0.00237,0,0,0.08112,0,0,0,0,0.06003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04899,0,0,0,0.06754,1.2162,0.104,0,0,0,0,0,0,0,0.00156,0.23087,0.06226,0,0,0,0,0,0,0,0,0,0,0,0,0.83723,0,0,0,0.01915,0,0.0448,0,0,0,0.04107,1.70154
s__Allisonella_histaminiformans,0.02127,0,0,0.06994,0.12009,0,0,0,0,0.05192,0,0,0,0,0,0,0.36125,0,0,0,0,0,0,0,0.14234,0,0,0.4159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10613,0,0.01057,0,0,0,0,0,0.02004,0,0,0,0,0,0,0,0.08553,0,0,0,0,0.06619,0,0,0,0,0,0,0.07741,0,0,0,0,0,0.04393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01919,0,0,0.02853,0,0,0,0,0,0,0.09025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38247,0,0,0,0,0,0,0,0,0,0,0.06207,0,0,0,0,0,0,0,0,0,0,0,0,0.10023,0,0,0.00872,0,0,0,0,0,0,0,0.13818
s__Parasutterella_excrementihominis,0.01541,1.03365,0.25088,0.1218,0.65646,0,0,0,0,0,0,1.30976,0,0,0,0,0,0,0,0.10865,0,0,0,0,0,0.13926,0,0,0,0,0.0678,0,0,0.51421,0,0,0.20429,0,0,0.1224,0,0.03584,0.29791,0,0,1.0492,0.4327,0,0.21078,0,0,0,0.40608,0,0.46128,0.51687,0,0,0,0,0.07112,0,0,0,0.37532,0.05181,0,0,0.05139,0,0,0,0,0.99212,0.15441,0,0.88315,0.04487,0.35351,0.44026,0,0,0.03906,0.04563,0,0.16196,0,0,0,0,0,0,0,0,0.00278,0,0,0.03837,0,0,0,1.41641,0,0.03657,0.02471,0.18473,0,0,0,0.12302,0,0.30861,0,0,0,0,0,0.02417,0,0,0,0,0.73324,0.02553,0,0.81997,0.91256,0,0.58145,0,0,0,0,0,0,0,1.24248,0,0,0,0.25389,0,0,0,0,3.78034,0,0,0,0,0.25915,0.00967,0,0,0.10808,0,0,0,0.00052,0
s__GGB3653_SGB4964,0.00921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08438,0,0,0,0,0,0,0,0,0,0,0.02005,0,0,0.37048,0,0,0,0,0.02561,1.63538,0,0,0,0,0,0,0,0,0,0,0.01077,0,0,0,0,0.06812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01187,0,0,0,0,0,0,0,0,0,0,0,0.03452,0,0,0,0,0.03333,0,0,0,0,0,0,0,0,0,0,0,0,0.01267,0,0,0,0,0,0,0,0,0,0,0,0,0.00538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01113,0,0,0,0,0,0
s__Alistipes_senegalensis,0.00839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03169,0,0.07826,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30561,0,0,0,0,0,0.00649,0,0,0,0,0,0,0,0,0,0,0,0.08367,0,0,0,0,0,0,0,0,0.0258,0,0,0,0,0.03358,0,0,0.10636,0,0.01456,0,0,0,0,0,0,0,0,0,0,0,0,0.01593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01092,0,0,0.02919,0,0,0,0,0,0,9.22312,0,0,0,0,0,0,0,0,0.00479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00887,0,0,0,0.04398,0.00537,0,0,0.02741,0,0,0,0.01181,0
s__Dorea_sp_AF24_7LB,0.0042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02162,0,0,0,0,0,0,0,0,0.18632,0,0,0,0.00181,0,0,0,0,0,0,0.00912,0.00246,0,0,0,0,0,0.06437,0,0,0,0,0,0.00444,0,0.01837,0,0,0,0,0.06238,0,0,0,0,0,0,0,0,0.07281,0,0,0,0,0,0.1563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00716,0,0,0.02137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00412,0,0,0.03163,0,0,0,0,0.0328
s__Dorea_phocaeensis,0.00405,0,0,0.07674,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00498,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00318,0,0,0,0,0.02735,0,0,0,0,0,0,0,0,0,0,0,0,0.14058,0,0.16093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00471,0,0,0.05878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01795,0,0,0,0,0,0,0,0
s__Ruminococcus_gnavus,0.00392,0.1769,0.04186,0.20669,0.16614,0,0,0.04928,0,0,0.10582,0,0,0,2.41983,3.96324,0,0,0,0,1.82783,0.03742,0.01201,0,0,0.07511,0.00757,0,0.27941,0.15823,1.07514,0.3918,0.00623,0,0,0.68897,0,0.22893,0.00933,0,0.05319,0,0.00105,0.10088,0,0,0,0,0,0.00159,0,0,0,0,0,0.22751,0,0,0,0.07756,0,7.53067,0.03406,0,0.14377,0.10342,0,0.36628,0,0,0.05247,0,2.33974,0.0019,0.12027,0,0,0,0,5.52388,0.02082,0.14486,0.07327,0.00091,0,0.01665,4.27014,0.05488,0,0,0,0,10.43635,0.01113,0.0725,0,0,0.58029,0,0.2803,0,0,0,0.03247,0.36048,0,0,0.01047,0,0,0.00845,0.09638,0,0.00378,0,0,0,0.00238,0.09665,0,1.22191,0.45088,0,0,0.01195,0,0.04342,0,0.25928,0,0.00055,0.05962,0,0,0,0,0,0,0.59421,0.18417,0.0037,0,2.83855,0.19475,0,0.17359,0,0.04408,0,0.22157,0,0,0,0,0.66679,0,0.15539,0.10187,0,0
t__SGB1814,34.90641,0.00569,15.16213,41.28583,35.0968,44.00727,3.15408,0.94412,0,24.21744,0.01314,40.77553,7.03127,0.27276,2.54293,0.02211,28.97885,24.61227,0,18.40399,0.00927,58.63412,27.8914,3.77459,23.81705,5.97917,23.24035,14.46251,0,20.69174,7.36295,0,0,9.79751,53.11385,0,12.02241,5.01341,52.90488,7.7585,0.02321,32.18691,0,8.46969,41.70493,66.34459,0,37.46231,6.24591,10.74562,33.54528,32.87964,12.03902,31.45397,18.26106,23.64283,6.02894,1.67279,0,9.33005,28.58349,5.82872,0,0.19673,51.43836,25.06351,13.88232,0,14.14895,55.33843,54.42861,60.84104,0,21.32363,4.20625,33.93095,0.01936,32.68827,31.62403,47.11052,32.48708,0,26.51179,35.29628,28.32202,45.43343,0.98905,15.83615,35.00849,0,38.85131,9.05751,0,0.2112,0.02114,8.56708,19.39757,5.16648,29.9291,0,40.9114,45.59837,17.90741,52.43197,0.34949,0.03434,19.83971,12.99825,25.52348,30.30944,53.6222,48.52725,17.35085,51.24144,8.78373,40.44781,63.12023,8.43813,21.28777,3.62337,28.56856,28.18751,49.54666,0.00917,25.66531,29.20031,35.84727,0,41.72502,0,52.14548,0,0,45.0206,27.91742,20.05473,10.81332,6.10324,12.57988,0,6.06035,0.72455,0.1063,0.08247,57.17866,13.65608,2.05689,40.30223,30.81826,42.5751,12.129,56.3474,1.32525,12.55028,28.2361,5.98098,0,0,2.43257,18.69027
t__SGB1830,13.38285,0,14.08472,6.98403,13.82934,0,16.3605,0,0,10.0406,0,0,0.57454,0,0.16386,0,16.66902,18.4925,20.24447,2.23762,0,1.92744,0,0,12.23446,0,0,4.82865,0,4.82951,1.94509,8.11153,50.04896,0,0,8.00779,0,23.42573,0.73585,0.87052,36.14917,0,0,3.66765,0,0,31.8347,29.27633,0.05556,18.67683,0.01506,4.97071,12.98992,0,0,1.73624,39.27787,0.60068,0,1.88474,13.2076,0,54.56283,0.01635,0.03527,6.73741,0.3687,0,0.03223,0,7.29899,0,0,0,0,25.6099,0,10.59486,0.80906,0,0,0,0.91151,10.44333,0,7.39115,0.88131,0,0.13693,0,0,0,0.00444,31.8335,54.37985,0,0,0.66806,0.68793,9.62258,11.91451,0,0,6.18619,0,25.58063,0,2.5115,0,0,0.09106,0,0,0,10.20242,0,0.09825,0.68403,0,0,0,0,0,0,9.31445,0.90995,0,0,0,0,0,43.4634,6.66914,0,0,0.06529,0,0,0,0,1.08791,0,0,17.4895,0,0,0,0,14.47037,0,0.03927,8.61279,0,0,2.49015,0,0,0,0.00212,16.07204
t__SGB1862,6.16299,0,0,3.63164,0,0.04163,0,0,0,0,0,0,0,0,0,0,0,4.24541,0,2.31331,0,0.14582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0827,0,1.22306,0,0,0,0,0,0,0,0,0,0,0,3.09594,0,0,0,0,0,0,0,0.21696,3.80548,0,0,0,0,3.69625,1.81615,0,2.05915,8.628,7.00192,0,0,0,0,3.48389,0,0.84249,0,0,0,0,0,6.05747,0,2.94128,0,0,0,0,0,0,0,0,0,0.01934,0,0.23914,0,0,6.88743,0,0,4.69432,0,0,0,0,0,0,1.5661,0,0,0,0,0,0,0.55646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90325,0,0,0,0,0,0.28361,0,0,0,0,0,0,0.10092,0.00844,0,1.80317,3.53568,0,0,7.2665,0,0,0,0,0
t__SGB1836,6.06058,0,3.3143,3.40145,11.29107,3.24432,0,1.03879,0,7.61289,82.79498,8.51098,15.1208,0.41831,0.625,5.3993,8.0296,3.37099,5.3836,2.18234,75.25349,14.70915,36.95362,4.75236,8.74036,0.76654,33.52535,2.84368,35.88148,28.84325,2.07716,12.20685,0,0,0,5.95532,15.22966,2.24387,24.47419,0.6495,0.0751,10.39119,0,33.11868,8.1335,0.06411,11.52506,6.66505,2.02221,11.52843,8.35194,7.28466,0.63755,4.21154,2.58294,0.81907,0,0.05404,0,11.48772,7.17541,2.25856,0,23.28643,0.06423,2.28921,3.83256,0,7.42851,10.06242,1.6014,0,0,1.88996,0.40478,5.19793,0,8.22587,6.1414,0,35.60764,0,3.4787,4.07612,27.71423,2.76954,0.92721,0.0019,2.14729,0,14.44557,23.08046,0,0,0.00336,12.3488,6.3329,0.80093,8.18907,7.47572,4.1514,0,9.65199,1.35812,0.02673,26.85142,13.07219,19.18432,13.05645,25.70007,10.17008,0.02759,18.47595,0,0.51109,0.36125,0.06845,1.98911,10.0951,2.66118,3.83572,20.03303,0,1.03817,6.74284,8.98877,0.00422,0,0,0,0.12484,0,26.39148,0.06171,6.08843,0.11131,2.83963,12.27415,13.25212,0,2.04768,8.91708,0.0272,10.89851,0,2.54553,1.4045,6.10207,7.23919,26.51704,2.07187,1.31263,1.5661,22.7396,1.4925,1.17021,0,0,1.64944,5.06533
t__SGB1867,5.32466,0,2.0382,1.55609,7.42612,3.57446,0,0,0,0,0,9.47288,3.86278,0.01937,1.15891,0,0,10.09515,0,0.33024,0,0,0,0.00966,0.04364,0.71274,0,0,0,0,1.75252,0,1.1813,0,6.98294,0,3.42792,0,0,0.85952,0.30543,0,0,0,0,9.52017,16.92753,0,2.88986,0.0763,0.00395,6.21603,4.87646,0,1.84624,0,0.47661,0.14893,0,0.20327,2.92126,0.00239,0.78148,10.42055,2.49148,5.03132,0,0,1.63084,0,1.14762,4.94504,0,3.61093,0.41538,0,0,0.5908,1.67515,0.42075,0,0,10.36891,7.57602,0,1.3476,0.08545,4.77188,0.00212,0,0.04785,0,0,0.91109,1.68207,1.54073,0,0.2654,0,0,6.26397,1.87406,0,1.18074,0.04278,1.18458,6.25931,0.02423,0,0,0,10.4786,14.76634,5.43069,0.10383,7.74764,4.6265,1.00987,16.55599,0.10026,1.38364,5.77159,1.608,0.01927,0.34283,0.82758,4.7158,0,10.07618,0,12.51988,1.85994,0,0,3.5591,0.27507,3.26543,0,0,0,4.37421,0.00545,0,0,8.53227,8.53994,0.047,2.08446,0.03174,0,0.0181,1.11046,0.02469,0,5.20859,0.73846,0,0.2287,0.03351,0.01164
