Abundance,PSM7J13U_P,CSM7KONS_P,HSM7CZ1T_P,HSM5MD4W_P,MSM5LLGJ_P,MSM9VZN4_P,ESM5MEEJ_P,CSM5MCXX_P,CSM5FZ3X_P,MSM5LLGR_P,CSM5MCVF_P,CSM79HPM_P,HSM5MD4B_P,PSM7J1CS_P,HSM5MD8L_P,HSM5MD57_P,CSM7KOKL_P,CSM5MCXZ_P,ESM5GEZ4_P,CSM5MCUW_P,ESM5MEE2_P,CSM5MCWI_P,CSM5MCYI_P,PSM6XBSC_P,MSM79HD6_P,PSM6XBSG_P,CSM7KOMV_P,HSM67VGA_P,MSM5LLHQ_P,CSM5FZ3R_P,PSM7J1B3_P,ESM5ME9G_P,HSM5FZBR_P,HSM5MD6S_P,CSM5MCVD_P,HSM5MD6K_P,HSM5MD8F_P,CSM5MCU4_P,MSM6J2PQ_P,MSM5LLHO_P,MSM6J2JH_P,ESM5GEZ1_P,MSM5FZA2_P,ESM5MEA7_P,HSM5FZBQ_P,MSM5LLHR_P,MSM5LLHE_P,CSM79HGR_P,MSM5LLD6_P,HSM67VGE_P,HSM5MD49_P,CSM5FZ42_P,CSM67UB9_P,PSM7J1BN_P,HSM6XRQC_P,CSM5FZ3T_P,PSM7J1C2_P,MSM9VZJF_P,HSM7CYWS_P,PSM7J19X_P,MSM79HF1_P,HSM5MD5D_P,CSM5MCUK_P,HSM5MD8H_P,CSM67U9P_P,MSM5LLFM_P,PSMA2651_P,MSM79H8J_P,CSM7KOU7_P,ESM5MEA9_P,ESM5ME9H_P,HSM5MD6I_P,HSM5MD4A_P,CSM5MCVZ_P,MSM5LLH8_P,CSM5FZ4A_P,HSM67VG6_P,MSM6J2N6_P,HSM5MD44_P,CSM67UET_P,HSMA33P2_P,MSM6J2M3_P,PSM6XBTZ_P,HSM5FZC2_P,CSM79HGL_P,HSM5MD7W_P,MSM5LLE3_P,PSM6XBW1_P,CSM7KOR4_P,CSM7KOQP_P,HSM6XRT2_P,HSM5MD8N_P,CSM5MCUC_P,MSM5LLGD_P,HSM5MD47_P,CSM5MCWM_P,ESM718U9_P,MSM5LLH2_P,HSM5MD82_P,MSM5FZ9X_P,HSM5MD5F_P,CSM67U9X_P,CSM79HGN_P,PSM6XBTH_P,HSM5MD5Z_P,CSM5MCUS_P,CSM5MCUG_P,HSM67VGI_P,HSM5MD43_P,CSM79HGV_P,PSM7J1CK_P,CSM5MCYO_P,HSM6XRTG_P,MSM5LLGH_P,CSM67U9H_P,CSM79HGF_P,CSM79HH2_P,CSM67U9V_P,CSM5FZ3V_P,PSM6XBVY_P,CSM5MCXB_P,ESM5MEAB_P,PSM6XBTN_P,CSM5MCU8_P,CSM5MCVJ_P,HSM5FZBP_P,HSM5MD6O_P,HSMA33J1_P,CSM7KOQZ_P,CSM79HQR_P,ESM5GEZA_P,CSM5MCUY_P,MSM5LLFU_P,ESM5MEBP_P,MSM5LLGF_P,CSM79HJI_P,PSM6XBRK_P,MSM5LLIK_P,HSM6XRSX_P,HSM5MD5K_P,CSM79HHW_P,MSM5LLI2_P,CSM5MCW4_P,MSM5LLH4_P,HSM7J4JT_P,HSM5MD6U_P,ESM5MEBA_P,HSM5MD5X_P,CSM5FZ4K_P,CSM5MCV1_P,PSM6XBS4_P,CSM5MCYM_P,MSM5LLIE_P,CSM6J2H9_P,CSM5MCXF_P,CSM79HGH_P,CSM79HJ6_P,CSM5FZ46_P,CSM79HJ4_P,PSM6XBS2_P,MSM5LLFO_P,CSM5LLGB_P,MSM5ZOJY_P,ESM7F5AE_P,CSM67UEP_P,CSM7KOKH_P,CSM67U9T_P,CSM67U9R_P,CSM7KOR8_P,ESM5MEB9_P,MSM5LLI8_P,HSM7CYYR_P,HSM7J4Q3_P,MSM9VZLX_P,MSM5LLIG_P,MSM6J2JF_P,CSM79HGJ_P,ESM5GEYY_P,CSM7KOUJ_P,HSM5MD8D_P,HSM7CYYV_P,CSM5MCYQ_P,MSM5LLIM_P,MSM5LLI6_P,CSM5MCVB_P,CSM7KONW_P,PSM6XBRM_P,HSM5MD59_P,HSM67VG2_P,CSM5MCTZ_P,MSM5LLHA_P,CSM67UCU_P,CSM5FZ44_P,HSM5MD3L_P,HSM67VIJ_P,ESM5ME9D_P,ESM5GEYW_P,MSM79H94_P,MSM5LLHG_P,HSM6XRQB_P,CSM5MCUA_P,CSM79HJC_P,CSM67UF1_P,HSM5MD4U_P,MSM79HCN_P,PSM7J143_P,CSM5FZ4C_P,HSM5MD8A_P,CSM5MCUE_P,CSM79HM5_P,CSM5YRY7_P,CSM67UAI_P,MSM5LLI4_P,CSM5MCV5_P,HSM67VCX_P,ESM5GEYU_P,HSM6XRT6_P,CSM5MCWK_P,CSM7KOMR_P,CSM79HM9_P,HSM6XRSZ_P,CSM79HG7_P,MSM6J2RG_P,HSM6XRTC_P,CSM5MCVV_P,MSM9VZFJ_P,PSM6XBSE_P,HSM5MD8B_P,CSM67UEW_P,MSM5LLIS_P,PSM6XBQM_P,MSM5LLHI_P,HSM5MD8J_P,MSM9VZM4_P,CSM79HGD_P,CSM79HQT_P,HSM5MEE5_P,MSM79H9U_P,PSM6XBTF_P,HSM5MD4P_P,CSM79HJ2_P,CSM7KOKP_P,HSM7CZ2L_P,HSMA33NG_P,CSM67UB7_P,HSM5MD5H_P,ESM5MEC7_P,CSM5FZ4G_P,CSM67UB5_P,MSM5LLE9_P,HSM6XRTA_P,HSM7CZ2V_P,CSM5FZ4E_P,CSM5MCWA_P,CSM79HPQ_P,HSM5MD87_P,MSM79HBX_P,HSM6XRT4_P,CSM7CZ2F_P,CSM5MCUQ_P,HSM5MD6E_P,HSM5MD7Z_P,HSM7CZ2X_P,HSM6XRQE_P,MSM633FF_P,HSM5MD8P_P,CSM5FZ3Z_P,ESM5GEZ3_P,MSM9VZJJ_P,CSM79HJ8_P,MSM79HD8_P,MSM5LLHV_P,MSM5LLHX_P,MSM5FZ9N_P,HSM5MD5B_P,MSM5LLGN_P,ESM5MEDP_P,CSM5FZ3N_P,CSM79HNY_P,HSM6XRTE_P,HSM7CZ2J_P,HSM67VDT_P,CSM7KOQ5_P,HSM67VFX_P,ESM5MEE6_P,CSM79HNG_P,HSM7J4JV_P,MSM79H52_P,PSM7J13Y_P,MSM5LLFK_P,HSM67VDR_P,MSM5LLIC_P,MSM5LLIQ_P,HSM67VDX_P,MSM5LLF2_P,ESM5GEZ6_P,ESM5MEDZ_P,MSM5LLFG_P,CSM5MCYU_P,ESM5GEYX_P
k__Bacteria,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.96085,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.92211,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.95966,99.984,99.95478,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99944,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.17865,100.0,100.0,100.0,100.0,100.0,100.0,99.38644,99.11926,100.0,100.0,100.0,100.0,100.0,99.94594,100.0,100.0,100.0,100.0,100.0,100.0,99.96474,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.67269,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.96712,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99138,100.0,100.0,100.0,99.89745,100.0,99.95467,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9423,100.0,100.0,100.0,99.93703,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99963,100.0,99.99964,99.93968,100.0,100.0,100.0,100.0,99.96618,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.87393,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.89335,100.0,100.0,100.0,99.8539,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.97098
p__Bacteroidetes,82.86853,82.31029,82.40697,83.65329,38.29144,69.69101,65.11604,66.39009,87.26592,77.69545,77.96339,46.47799,47.13556,68.35377,78.70703,56.129,82.02847,69.95975,73.5413,69.53627,65.69834,87.69562,38.73399,59.77834,78.45743,61.60664,54.81003,74.16088,76.68253,86.65206,42.60199,72.73347,96.19938,74.7017,84.87168,59.76452,62.84236,77.68084,7.36383,72.07358,60.00649,45.58401,21.44456,44.07036,92.70533,67.65482,50.83526,73.07764,64.52539,36.54553,42.48984,72.46533,91.85837,5.6342,79.46709,86.9092,96.40221,19.46358,72.23183,44.95228,19.14824,45.01858,56.33128,39.74958,52.96141,91.10031,74.62427,51.64391,71.91121,67.13458,61.37324,67.62758,17.10591,87.40031,80.60912,91.97784,53.37506,85.24121,1.4544,28.85987,67.0645,28.06369,83.60892,92.35306,45.37468,94.03012,5.38037,70.55507,85.45442,0,73.17038,75.37819,79.77834,54.70118,18.4357,84.5702,53.39015,45.36239,58.89478,13.85319,27.7372,79.88338,83.54506,60.9162,97.42467,57.71974,71.09246,78.82834,66.79323,74.39983,65.5545,48.92782,78.33515,56.09472,71.50999,39.25511,72.44009,82.35297,76.66655,67.49876,33.62265,61.8142,62.70909,41.61823,87.94136,92.60711,91.39802,48.62507,80.80299,17.05882,71.04496,73.73806,82.61015,47.68828,51.64546,79.14679,72.30437,77.33509,45.54302,95.63389,82.38117,81.43517,84.50783,79.06598,76.61996,78.64038,62.99601,50.09428,65.03154,79.57134,27.87398,45.68455,73.22189,55.53322,59.50252,59.52742,60.7214,90.56665,90.00531,62.3031,84.18037,45.5933,1.88743,76.13775,34.60452,89.82112,86.96744,79.86141,81.19123,80.84012,86.02537,89.78473,46.35747,84.93534,75.24871,60.00797,73.96073,68.20062,92.07517,75.94271,59.7577,35.00641,77.45862,83.32553,88.80014,44.20346,82.87107,45.72451,79.3956,66.51127,83.57529,84.97057,83.44335,41.73946,55.94479,70.68584,20.94241,97.50407,76.59721,49.44316,84.12062,65.29244,32.65229,73.39624,62.35957,83.3831,70.63755,54.5183,62.00689,74.69646,89.83954,0,54.57472,72.15102,91.30847,54.98306,22.59021,72.13483,34.96493,56.28133,67.1841,61.99951,67.94201,60.1923,75.04815,74.47786,56.29671,71.78278,15.30643,89.08779,67.12817,82.39895,67.16568,78.06869,52.40315,27.20806,80.43609,69.52381,71.01536,71.63343,78.08603,80.91515,51.86255,88.03932,84.13615,87.82522,82.04597,59.20628,80.87326,4.171,46.55069,86.07726,78.83935,12.16589,58.64156,46.38892,66.41742,65.57715,75.78454,64.09287,60.29778,80.6707,70.34875,95.36003,0.12576,82.47577,80.95442,41.34505,73.60429,65.94433,19.398,66.30395,51.36758,1.55477,46.02922,88.95322,86.73915,77.72008,75.09934,53.45689,72.46805,90.8718,56.96247,43.31741,48.82683,44.79657,83.87153,49.50626,78.78061,82.77592,73.20582,26.77486,79.97129,53.28351,6.21953,55.0518,67.76172,66.38178,42.62025,34.74344
p__Proteobacteria,7.29277,0.76701,1.12748,0.44411,1.31717,2.50603,1.06309,2.25677,7.83638,1.10993,0.01571,2.10594,6.89824,0.69581,0.29787,6.0201,4.34523,0.63876,1.56982,10.65402,0.51279,0.44809,1.18057,2.08281,1.43429,2.28843,0.27522,1.16835,1.23484,0,48.84367,0.96081,0.6507,0.03991,0.14798,1.44577,1.48767,1.30431,8.46447,3.22924,2.48446,4.0897,3.45891,6.01022,1.10351,3.88437,8.93027,0.85417,1.14712,3.29341,5.47942,5.64616,0,36.07276,2.24613,3.72799,2.66825,5.18091,0.76403,4.66929,2.15942,2.15333,15.94478,0.24875,0.97683,0,0.32987,2.0714,0.70152,1.11132,2.45042,1.01149,2.87564,1.0866,1.51514,0.73375,1.43412,1.88893,0.85325,0.25203,1.99842,5.95721,1.74643,1.39589,6.2047,0.27813,33.64247,1.26693,1.16911,25.68767,3.12969,0.38671,2.45718,0.83118,1.63139,0.0547,7.39644,4.71915,0.87685,2.53045,17.25457,1.95171,1.86816,1.22305,0,3.94025,5.22573,1.59436,0.80682,0.79956,7.28751,1.46664,0.54982,2.27424,1.13188,2.26855,3.74813,0.18166,0.02849,0.9853,1.48119,1.67959,1.60737,8.3239,5.34894,1.59671,0.04458,2.07277,4.01511,8.56269,2.07906,12.42226,0.05544,3.2948,0.80386,5.5368,4.66863,1.37075,7.66925,0.28748,0.59241,1.25541,0.43023,1.36485,1.27917,0.03555,2.04979,4.66269,0.06158,7.58621,2.23042,2.02218,5.52992,0.8754,2.75124,1.83942,3.11267,5.35431,4.47225,0.96472,0.15289,2.17585,7.92318,1.18582,0.75223,1.50373,0.07767,3.47947,1.30009,2.64106,0.73393,2.7015,1.32534,1.60835,1.24402,0.97707,1.92446,7.90491,0.29201,0.72809,0.52811,1.73464,0.71829,1.15491,5.34236,1.39352,3.24089,2.20205,4.73731,7.11982,1.65137,0.4579,6.67319,5.85939,1.62322,0.77028,1.94655,0.32284,1.74946,0.0466,2.47597,1.71022,0.47256,1.40056,2.38541,1.03305,0,1.63632,3.36164,0.28902,0.06131,18.05643,0.78618,1.84335,0.46925,4.19238,15.90319,1.29,0.95328,0.84745,1.83065,0.02803,0.14801,2.83577,1.3671,1.44922,0.02786,1.44308,1.10755,1.88656,2.37235,2.84803,2.04732,0.80541,2.51864,1.38909,1.4217,3.99743,1.06906,0.90524,3.51828,1.34392,2.99567,1.61978,4.19029,3.6936,1.00192,0.4396,4.65549,17.63814,1.21075,1.21453,0.48172,10.93895,1.74137,3.26561,12.43777,8.89449,0.96299,5.64607,0.29708,0.52166,2.0594,0,1.57273,0.89405,5.5937,1.80612,4.04969,4.01892,41.57976,1.90852,1.00679,31.15402,2.43002,0.63429,0.23614,0,0.1507,2.10301,4.48133,0.2464,3.97145,3.25131,1.36243,1.06206,1.80687,0.55416,2.33322,0.26834,3.21278,9.9975,0,1.09867,3.59966,5.79221,1.02758,1.27552,1.02809,2.74458
p__Firmicutes,6.7401,16.87462,15.92503,15.65146,58.90234,27.72673,33.696,31.09639,4.8977,21.04042,12.24999,48.72364,45.60695,29.68645,20.7418,27.34562,13.57991,29.3152,24.56355,19.62423,33.76373,10.91609,55.83503,37.96831,20.07036,34.59696,42.56478,20.50158,21.37703,12.81075,6.73289,26.30573,3.12406,25.19054,10.90252,38.75332,35.14558,20.9991,80.32889,21.13038,36.16987,50.3263,73.38517,39.23443,6.19116,28.11915,33.92796,17.89509,32.43465,56.47475,51.82545,21.78272,8.10236,55.59348,18.15965,9.36281,0.89636,73.74826,26.40898,50.2648,75.63736,44.39407,27.66085,59.78778,44.11602,8.89969,24.89377,45.24954,26.28274,30.18903,34.78775,31.17268,68.6659,11.49052,5.59654,7.20388,33.35734,11.50675,51.28827,69.11844,30.72155,62.33856,14.30521,6.24343,41.95429,5.5232,60.79695,26.39053,13.37647,74.31233,20.78122,18.33102,15.13805,43.38647,77.13299,15.35565,13.59225,19.77969,37.9646,73.64127,46.16489,18.11311,13.5427,37.17049,2.57533,38.26708,23.65919,17.80063,30.88699,24.04804,26.8249,40.98082,20.4226,40.89824,25.21991,55.75868,13.92391,17.40613,7.99538,23.90122,62.70942,35.90256,35.35524,40.31074,6.70012,5.7707,8.55741,48.81033,15.18189,74.33177,26.12143,13.76114,17.30839,48.72455,45.85291,15.01868,20.9018,21.24327,38.68817,3.94448,16.87918,16.61824,14.91337,9.56337,21.68542,21.01308,34.94037,44.09571,34.78414,8.78162,66.40041,51.35199,21.06966,43.54646,37.65929,37.16518,28.05303,4.07904,5.50304,35.99818,15.64487,51.69223,90.03527,20.74383,49.75941,8.64519,12.59236,14.91693,17.50868,15.99861,12.60168,5.78723,51.39619,13.42237,23.30181,17.0499,23.50458,23.76603,7.57562,22.44818,32.93562,61.1771,20.78472,14.50139,1.13304,53.84504,13.84074,50.03848,11.27473,26.31241,10.30431,14.51436,9.86538,51.04424,41.86065,28.37341,76.49939,2.17309,20.18718,50.44875,12.14718,32.95165,65.15718,25.03413,30.13956,14.21985,13.20781,39.96948,18.11989,24.39906,7.37819,81.93051,43.76144,25.50535,6.32319,40.35883,37.42964,26.48687,59.51715,41.72904,23.5909,36.66929,31.90805,33.70038,21.29507,23.96009,43.61595,22.79842,79.1471,6.42138,30.46797,12.51638,22.37966,21.1259,43.71949,57.71783,18.05178,26.0763,26.7485,27.15909,18.33089,17.64646,41.57317,10.3409,11.66228,8.44766,16.72725,40.28983,14.45548,77.79318,40.83909,12.52327,20.59676,75.79515,39.44094,48.84145,12.46381,15.22352,20.87763,29.04294,38.6313,18.38322,26.55193,4.63997,97.32181,16.21562,13.42675,56.84884,19.62607,29.95231,36.47099,27.2458,45.60762,67.25096,47.84439,10.35373,10.03453,22.02672,22.71988,35.54171,12.50934,6.25268,39.0109,51.16301,49.71101,32.76779,14.27147,48.62906,18.29206,16.95574,22.30968,59.96187,20.02871,38.35074,87.61702,36.60548,31.20159,31.89353,39.38087,61.88949
p__Actinobacteria,3.0986,0.01545,0.30632,0.00792,1.45433,0.07623,0.12487,0.14493,0,0.1542,0,0.87686,0.08038,1.26397,0.03116,1.55241,0.04639,0.00724,0.32533,0.02593,0.02514,0.00412,4.25041,0.14037,0.03793,0,2.3321,0.57031,0.70559,0.04954,1.7128,0,0.02586,0.06785,0.02712,0.03639,0.49563,0,3.36584,0.04855,0.05147,0,0.07516,0.08033,0,0.07244,0,0.18456,1.89284,2.62229,0.20529,0.10579,0.03927,2.69955,0.12712,0,0.03318,1.35631,0.59516,0.11363,0.45568,0.84516,0.06309,0.10281,1.94574,0,0.15209,0.13618,0,1.56507,1.38859,0.18825,0.18464,0.00436,0.00954,0.01227,2.7165,1.36311,46.24061,1.76967,0.21552,3.0837,0.32666,0.00762,0.00762,0.16855,0.1802,1.77212,0,0,1.17484,0.12222,0.15734,0.99649,2.79993,0.01945,0.36798,0.32416,2.12724,0.03867,2.69762,0.0518,0.04974,0.69025,0,0.04009,0.02262,0,1.51296,0.16608,0.33308,8.36243,0.08436,0.7328,0.00698,2.18208,0.12423,0.05924,0,0.08442,1.9928,0.5336,0.3283,0.66661,0.00957,0.02547,0,0.49183,0,0,0.75455,0.04495,0,0.29236,1.67488,0.03223,0.59581,0.0429,2.42816,0.13415,0.14725,0.68305,0.1297,0.01312,0.41545,0.18333,0.01383,0.2412,0.12275,0.03223,3.49519,0.9192,0.08638,0.04492,0.08695,1.45113,0.23637,0,0.0194,0.734,0,0.46381,0.07926,1.69336,14.88384,0.01521,0.28406,1.69323,0,0.52022,0.63902,0,0.92099,0.03394,0.20546,1.89243,0.39868,0.09284,0.0572,0.16413,0.10256,2.08186,0.5434,1.01818,0,0.22846,0.04731,1.19061,0.332,0.05651,0.00803,0.05717,0.01807,1.35691,0.33475,0.17047,0.56631,0,0.00356,0.06149,0.04158,0.04568,1.71797,0.12767,0,1.36399,0,3.50796,0.25019,0.5686,0,0.01306,0.87765,0.50029,0.0101,0.46573,9.36258,0.0306,4.45182,0.94434,1.41098,1.2402,0.00193,0.31192,0.01886,0.11283,0.05948,2.16636,4.43892,0.01029,0.02507,0,0.37548,0,1.35872,13.68502,0.00136,0.0304,1.16708,0.30224,0.06481,0.09448,0.76131,0,0.01128,0.03352,0.21781,0.06429,0.01577,0.39768,1.2472,0.11849,0.08217,0.49514,0.14272,1.50402,7.48499,0.69702,0.48223,0.08473,0.76358,0.42442,1.03993,0,0.9797,0.1653,0.00495,0,0.1497,0.08444,2.34419,0.27728,1.98698,0,2.69037,0.05876,0.03401,0,0,1.72168,0.98503,0.18844,0.05517,0.98935,0.09973,1.97955,0.03972,1.1238,0.5941,0,1.27172,0.49274,0,7.23062,2.56379,2.10615,0.00911,0.00305,0.0308,0.17295
c__Bacteroidia,82.86853,82.31029,82.40697,83.65329,38.29144,69.69101,65.11604,63.60148,87.26592,77.64007,77.96339,46.47799,47.13556,68.35377,78.70703,56.129,82.02291,65.6773,73.5413,69.53627,65.69834,87.69562,38.46629,59.77834,78.45743,60.22122,54.81003,74.16088,76.68253,86.65206,42.39318,72.73347,96.19938,74.7017,84.76549,59.76452,62.84236,77.68084,6.44401,72.07358,59.77282,45.58401,21.44456,44.07036,92.70533,66.64289,50.83526,37.23656,64.52539,36.54553,42.48984,72.45295,91.85837,5.6342,79.46709,86.9092,96.40221,15.68759,72.23183,44.95228,18.22932,45.01858,49.97339,39.74958,52.96141,91.10031,74.62427,51.64391,71.91121,67.13458,61.37291,67.62758,17.10591,87.40031,75.56444,91.97784,53.37506,85.24121,1.4544,28.85987,67.0645,22.11224,83.60892,92.35306,45.37468,94.03012,5.38037,70.55507,85.45442,0,73.17038,75.37819,79.77834,54.70118,18.4357,84.5702,53.39015,45.29481,58.89478,13.85319,27.7372,79.88338,83.54506,60.9162,97.42467,57.71974,60.26773,78.82834,66.79323,42.84322,65.5545,48.92782,78.33515,56.09472,71.50999,39.25511,72.44009,82.35297,76.66655,67.49876,33.62265,61.8142,62.70909,41.61823,87.94136,92.60711,91.39802,48.62507,80.80299,17.05882,71.04496,73.73331,82.61015,47.68828,51.64546,79.14679,72.30437,75.73212,45.54302,95.63389,82.38117,81.43517,84.50783,74.90583,76.61996,78.64038,62.99601,50.0913,65.03154,79.57134,27.87398,45.63746,70.75733,55.53322,59.50252,59.52742,44.55885,90.56665,90.00531,62.3031,84.18037,45.5933,1.88743,76.05176,34.60452,89.82112,86.96744,79.86141,81.19123,80.84012,86.02537,89.78473,46.35747,84.93534,65.10005,60.00701,73.96073,61.54159,92.07517,75.94271,59.7577,35.00641,70.36936,83.32553,88.80014,44.20346,82.87107,45.72451,79.39166,59.99701,79.7769,84.97057,83.44335,41.73946,49.30753,70.68584,20.8312,97.50407,76.59721,49.44316,84.12062,65.29244,32.65229,73.39624,62.35957,83.3831,70.63755,54.5183,62.00689,74.69646,89.83954,0,54.57472,72.15102,91.30847,54.98306,22.59021,70.62057,34.87922,56.26049,67.1841,61.99951,67.94201,60.1923,75.04815,74.47786,56.29671,71.78278,15.30643,81.4273,67.12817,82.39895,65.60916,78.06869,52.40315,27.20806,80.43609,69.00032,71.01536,71.62228,78.0804,80.91515,51.86255,88.03932,84.13615,87.82522,82.04597,59.20628,80.87326,4.171,46.55069,86.05522,78.83935,12.16589,58.64156,46.38892,66.37487,65.57715,75.78454,64.09287,60.29778,80.6707,70.34875,82.8025,0.12576,82.47577,80.95442,41.34505,73.60429,65.93805,19.398,66.30395,51.36758,1.55477,46.02922,88.95322,86.73915,77.72008,75.09934,53.45689,72.46805,90.8718,56.96247,43.31741,48.82683,44.79657,83.87153,49.27874,78.78061,82.77592,73.20582,26.77486,79.97129,53.28351,6.15304,55.0518,67.76172,66.38178,42.62025,33.39448
c__Betaproteobacteria,7.29277,0.73824,0.68101,0,0,1.39866,0.9146,0.83657,6.76191,0,0,1.98364,2.34023,0.66109,0.24495,1.02087,1.77358,0.38566,1.23847,0.91469,0.33059,0,0.21922,2.08281,0.47872,1.1356,0.10135,0.75706,1.1862,0,36.63604,0.76694,0.52158,0,0.12292,0.48353,0.56479,1.08395,0.91467,0.86603,1.31476,3.15699,0,0,0.49903,1.69067,1.42774,0.28866,1.0504,1.50059,3.92618,5.62648,0,0,0,3.72799,2.21149,1.30087,0.71615,0,0.30057,1.43225,0.90248,0.18694,0.90636,0,0,1.37117,0.48757,0,2.0428,0.5939,2.7285,0.96757,1.27659,0.41511,0.4597,1.47981,0,0.22991,1.47367,0.49547,1.57764,1.16284,3.11952,0.17626,32.93641,1.15891,0.9746,0,0.61618,0.22515,1.16372,0,0.37114,0,2.34372,4.42702,0.2871,0.05787,4.82305,1.38028,1.15734,1.19218,0,0.44706,0.97095,1.13789,0.6706,0.18306,7.28751,0.79605,0.38203,0,0.64811,1.39436,2.03325,0,0,0.25209,0.58248,0,1.50492,4.78362,5.11638,0.23571,0,1.67158,1.41584,0,1.62355,0.54089,0,1.86861,0,0.24891,4.5353,0,3.14397,0.19199,0.4478,1.17968,0.33218,0.97899,0.97109,0.00116,1.65639,4.40942,0.02934,0.4381,2.23042,0.63015,1.1072,0.50558,2.61666,1.67382,0.55095,5.05036,1.20127,0.96472,0,0,0,0.99168,0.25427,1.36599,0,3.03338,1.10774,1.25055,0.61088,2.58567,1.04072,1.22399,1.11673,0.62689,1.54532,0,0.28093,0.55716,0.24355,0.25418,0,0.96758,1.14942,0.75197,3.04167,1.02668,0.05038,0.96977,1.3317,0.23905,6.67319,3.95483,0.04595,0.39592,0.29143,0.15623,0.96833,0,1.12812,1.64029,0.38152,0,2.36549,1.0273,0,0.37161,1.60523,0.07827,0,0,0.68751,1.46296,0.46925,2.50509,5.5127,0.4732,0.48377,0.52477,1.17872,0,0,2.23922,0.04989,1.29541,0,1.0591,0.16977,1.75701,1.63416,0.38257,1.24385,0,1.14381,0.45353,1.19872,1.32441,1.06598,0.21999,3.43973,0.77562,1.0678,1.36988,1.80276,1.29193,0.20569,0.05106,1.51584,17.49414,0.68826,0.75472,0.0392,0.10629,0.85241,2.66422,4.08481,0.39247,0.35365,0.48589,0.27819,0.23876,0.97827,0,0,0.6984,5.1149,1.49824,0,0.97516,0.26874,0.59612,0.86917,22.74304,1.06101,0,0.21341,0,0.1507,1.47592,0.22198,0.14393,2.01877,1.30386,0.95777,0.83585,1.77581,0,2.33322,0,2.29663,2.50112,0,0.55492,0.23904,4.95044,0.66927,0,0.56813,0.36922
