Abundance,SAMN08049672,SAMN08049695,SAMN08049714,SAMN08049741,SAMN08049706,SAMN08049711,SAMN08049696,SAMN08049774,SAMN08049635,SAMN08049632,SAMN08049768,SAMN08049646,SAMN08049737,SAMN08049675,SAMN08049730,SAMN08049630,SAMN08049621,SAMN08049679,SAMN08049628,SAMN08049704,SAMN08049757,SAMN08049735,SAMN08049686,SAMN08049725,SAMN08049747,SAMN08049661,SAMN08049731,SAMN08049629,SAMN08049770,SAMN08049709,SAMN08049745,SAMN08049634,SAMN08049693,SAMN08049698,SAMN08049697,SAMN08049655,SAMN08049775,SAMN08049699,SAMN08049623,SAMN08049759,SAMN08049669,SAMN08049729,SAMN08049749,SAMN08049776,SAMN08049717,SAMN08049716,SAMN08049740,SAMN08049666,SAMN08049761,SAMN08049739,SAMN08049754,SAMN08049712,SAMN08049701,SAMN08049636,SAMN08049760,SAMN08049744,SAMN08049746,SAMN08049660,SAMN08049772,SAMN08049631,SAMN08049733,SAMN08049755,SAMN08049642,SAMN08049644,SAMN08049756,SAMN08049674,SAMN08049773,SAMN08049718,SAMN08049764,SAMN08049688,SAMN08049670,SAMN08049687,SAMN08049627,SAMN08049752,SAMN08049734,SAMN08049763,SAMN08049622,SAMN08049668,SAMN08049722,SAMN08049692,SAMN08049707,SAMN08049727,SAMN08049650,SAMN08049648,SAMN08049762,SAMN08049640,SAMN08049677,SAMN08049682,SAMN08049719,SAMN08049671,SAMN08049685,SAMN08049736,SAMN08049691,SAMN08049656,SAMN08049765,SAMN08049724,SAMN08049684,SAMN08049618,SAMN08049750,SAMN08049700,SAMN08049681,SAMN08049738,SAMN08049715,SAMN08049659,SAMN08049645,SAMN08049619,SAMN08049683,SAMN08049702,SAMN08049651,SAMN08049690,SAMN08049637,SAMN08049751,SAMN08049643,SAMN08049766,SAMN08049680,SAMN08049723,SAMN08049676,SAMN08049641,SAMN08049767,SAMN08049620,SAMN08049720,SAMN08049728,SAMN08049713,SAMN08049647,SAMN08049721,SAMN08049705,SAMN08049703,SAMN08049710,SAMN08049625,SAMN08049748,SAMN08049664,SAMN08049624,SAMN08049708,SAMN08049649,SAMN08049662,SAMN08049732,SAMN08049743,SAMN08049633,SAMN08049758,SAMN08049742,SAMN08049657,SAMN08049654,SAMN08049658,SAMN08049694,SAMN08049726,SAMN08049665,SAMN08049678,SAMN08049626,SAMN08049653,SAMN08049652,SAMN08049771,SAMN08049753,SAMN08049673,SAMN08049663,SAMN08049667
s__Bacteroides_stercoris,,9.22661,0,0.35542,0,0.03313,2.98197,0,0,0.26982,0,6.80531,0.71974,0.00277,0.00393,4.86972,0,0.00197,0,0,0.0017,2.52618,0.0141,0.10667,0.00124,0,0.47666,0,0,0.86423,0.00218,0,4.12858,0,0.71618,0.19557,0,0,0,11.50109,0,0.00321,0.00259,9.87308,3.1078,0,0.00149,0,0,0.00268,16.56975,0,0,0,0,0,0.00063,0,0,0,0.00837,0,0,2.34506,0.00155,0,0,0,0,0,0,0.10992,0,0.00163,0.11032,0.31666,0,0,0,0,0,0.01051,0,0,0,0,1.45254,0,0,1.35553,0.02524,0.15622,0,0,0,2.35128,0.00174,0,0.00207,0,0,0.00931,0.09258,0.96648,0,1.71435,0,0,0,1.21957,0.1372,0.003,4.80067,0.21813,0,0,0,0,0,0.00403,0,0.00491,0.04293,0,0,0,0.42494,0.16839,0.00517,0.00567,0,0.00346,0,0,0,0,0.00277,0.11525,0.0025,0.53007,0,14.64877,0.04331,0,0.00318,0,3.42909,0,0,0,0.61332,0.00181,0,0,0
s__Faecalibacterium_prausnitzii,,8.9876,0,6.29133,0,16.6933,0,2.54509,13.43218,15.43689,13.72209,4.64504,2.29372,1.31671,0.18418,10.19173,0.10987,7.71499,22.66985,0.283,0.00814,9.58357,2.90379,6.46034,17.87075,4.3148,7.14981,3.53504,9.12995,1.83995,7.79312,0,1.57243,0,0,6.08515,4.21321,0,0,10.61301,0,0.00957,0.01344,9.31485,0,14.62886,7.55065,4.36333,3.66259,0.09317,0.0119,8.70145,6.37757,15.88321,25.77732,6.18187,0.00338,2.27497,6.61762,1.61541,1.18728,0,6.44316,3.20127,12.97565,0,0,3.36201,2.99204,0,21.2321,7.93713,0,0.01485,4.08437,1.69346,7.5231,0.00599,9.48796,0,0,10.72127,0.95139,7.42141,11.4095,1.12199,0.05113,0,0,4.52678,1.22231,2.25558,4.1659,9.82764,0,11.98127,0.01532,0,0.01069,0,0,0.01417,1.81904,9.00124,13.03129,4.04214,0,0.0071,29.50993,0,5.0806,0.03193,10.05954,0.66609,0,7.01638,0.12732,1.06217,0.00306,1.98,0,0.03516,0.56466,1.57419,0,7.99021,2.57399,0.0396,0.03045,0.03034,0,0.01522,0,1.29096,0,0,10.94203,4.47266,0.01201,7.17177,16.70206,6.39659,2.29847,5.84664,4.12322,0,1.90703,9.57942,3.55629,4.93163,0.02394,0.20461,12.09546,0,0
s__Roseburia_faecis,,3.99431,0,0.89641,0,1.51144,0,0,3.69078,0.02326,1.16378,1.02554,0.11287,0.17982,0.00038,1.871,2.53878,0.42459,0.57492,0.01619,0.0006,0.01101,0.05422,0.23256,8e-05,3.29705,0.16715,3.52766,1.18863,2.84154,2.22807,0,0.72088,0,0,0,3.84215,4.26255,0.09019,0,0,0.00203,0.00197,3.24534,0,0,1.69351,1.46477,6.65799,1.10411,0.66513,2.10613,2.06618,0.89594,0,0,0.00015,2.971,0.87145,1.47133,0.69098,0,0,1.52797,0,0,10.95143,1.10743,0.08351,0,1.97641,0.24845,2.0791,0.00157,0.26886,0,0.03365,0.00177,5.82767,0,0.00337,0.00235,0.15655,0.83539,2.3886,0,6.63988,0,0,1.06742,0.53383,0.02779,8.22136,9.64375,0,4.61633,1.62137,0,0.001,0,0,0.08016,0,2.93705,0,2.83475,0.29127,0,38.95434,1.21143,0,0.00262,3.89889,0.11258,0,1.65174,0.05277,0,4.15954,0.00242,0,0.00729,0,0,0,3.18816,0.05744,0.00381,0.00255,0.0655,0,0.00248,0,0.06447,1.51792,0,0.00253,0.23778,0.0001,1.08924,2.26483,0.3839,0,5.13758,2.32361,0,1.2212,2.78634,5.49888,0.47754,0,0.00795,0,1.83513,0
s__Roseburia_intestinalis,,3.17206,0,0.68493,0,0.05656,0,0,6.33878,0,0.58395,0,0.02789,0.13913,0.00636,1.46579,0.41633,0.13249,0.68529,0,0,0.84162,0.05974,0.00048,0,0.21864,0.53913,0,10.16183,0,0,4.91811,0.48848,0.0176,0.03837,0,1.38502,0.38734,0,0,0,0.00154,0,1.69962,0,0,0.04243,0.35435,0,0.19633,0.00571,0.31528,0,0.16506,0,0,0,0,0,0,0.02397,0,0.31873,0,0,0,0,0.15307,0.00212,0,0,0.00499,0,0,0.00042,0,0.75652,0,4.15517,1.89486,0,5.19906,0.00364,0.95154,0.01525,0.92585,0.0456,0,0,0,0.00024,0.48107,0.00267,0.97245,0,1.67459,2.3472,2.02192,6.39188,0,0.1726,0,0.81647,0.61758,2.20377,0.67456,1.18713,1.58096,0.08508,0,0.09856,0,0.89958,0.00549,0,0.10745,0,0,3.16129,0.03363,0,0,0.18438,0,0,0,0.28986,0.00181,0.34267,0.00229,0,0.00025,0,0.1267,1.55438,0,0.90695,1.15864,0,0.0992,0.80502,0,0.04882,2.03674,1.5014,0,0.07277,1.61346,0.22794,0.07593,0,0.00994,0,0.00232,0
s__GGB80011_SGB15265,,2.79573,0.6725,0.27544,0,0.41111,0,0,0,0,0,0,0.50306,0,0,0,0,0,0,0,0,0.19317,1.88545,0,3.35618,2.35674,0.18031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00112,0,0,0.00053,0,1.3272,0,0,0,0,0,0,0.00838,0,1.10974,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00492,0,0,0,0,0,0,0,0,0,0.32891,0,0,0,0,0,0,11.79894,0,2.55506,0,0,0,0,0.00045,0,0,0,0,0,0,10.90165,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00201,0,0,2.46994,0.1182,0,0,0,0,0,0.00198,0,0.00101,0,0,0,0,0.0005,1.32766,0.00059,0,0,0,0,0,0.38974,0,0.00496,0,0.49897,0.00266,0,0.00481,0,0,0
s__Anaerostipes_hadrus,,1.68063,0.00184,1.57224,0.00026,3.78814,0,1.81199,1.20408,7.92992,0.95293,2.84774,0.69133,1.11757,1.64412,0,1.28408,0.76072,2.63185,0.49904,0.00103,0.92248,2.7156,0.19254,2.24206,0.86138,1.04476,3.31395,1.64588,3.77818,0.9856,0.53393,3.33193,0.01053,0.00095,1.84238,0.92295,4.28737,0.00075,0.29995,0,0.00228,0.00273,0.33843,0,2.16282,0.24503,0.54708,3.46447,1.03549,0.4186,0.24754,0.79992,2.69501,5.94995,2.63673,0,2.62337,0.00446,1.50001,1.48627,0,3.85267,1.13736,2.36442,0,1.31832,0.23303,0.20896,0.37933,4.44651,0.53653,15.18155,0.00237,0.2433,0.17716,0.27672,0.00828,0.16993,0,0,2.48166,0.91693,0.98645,0.56193,0.57086,3.22927,0,0,0.08583,1.37753,0.60493,3.75621,3.60954,0,2.03963,0.00092,0,0.00079,0,0,1.12432,3.49753,0.81146,1.86749,0.86136,1.12933,0,2.66122,0.70522,1.70172,0,0.53798,0.0075,0,0.16226,0.0158,0,0.23971,0.20915,0,0.00165,4.45599,1.6997,0.73197,1.25508,1.82728,0.00629,0.08386,6.66899,0,0,0,2.38959,4.48825,0,1.65946,1.90154,0.00111,1.50444,3.79271,0.82258,1.48914,2.07094,0.24592,14.18106,0.71227,1.99898,2.60878,0.33107,0,2.83141,1.44706,12.18525,0
s__Dorea_longicatena,,1.67271,0,0.75222,0,5.45687,0,0.45573,4.8232,0,0.50812,1.46249,0.4611,0,0,0.7512,1.87434,0.51903,0,0,0,1.42452,0.42272,0.42956,2.88761,0.78249,0.56625,0,1.11979,0,0,1.39089,0,0,0,0.88004,1.3953,0,0,1.9273,0,0,0,0.91563,3.382,0.99767,0,1.92659,0,1.37238,0,2.83127,1.09251,2.53881,0,0.80332,0,3.90418,0.18775,3.12527,2.14038,0,0.70128,1.23781,0,0,0,0.82138,0.1508,0,1.20949,0.70421,0,0,0.36139,1.74699,2.56342,0,0.89287,0,0,0,1.07188,1.45334,0.02191,1.29461,4.58854,0,0,1.35823,1.25683,0.69086,7.27699,2.01152,0,1.06138,0,0,0.0002,0,7.59946,0,1.671,1.22092,0.41568,0.83283,0,0,0,0,2.02759,0,0.66426,0,0,0.58487,0,0,0,0.87327,0,0.00202,8.69584,1.1724,0,0,0.91052,0,0,0.88527,0,0,0,1.58004,0.85046,0,0.39481,2.65599,0.00047,0.4166,2.68977,0.7513,0.93778,0.41128,1.46796,0,1.39116,1.67375,2.17507,0.0775,0,0.90763,1.27241,0,0
s__Blautia_stercoris,,1.55785,0,0.22147,0,0,0,0,0,0.49897,0,0,0,0,0,0,0,0.50456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6426,0,0,0,0.38134,0,0,0,0,0,0,0,0,0,0,0,0,0.02292,0,0.20906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01693,0.21155,0,1.59107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01475,0,0,0,0.43794,0,0,1.44803,0.0585,0.1071,0,0,0,0,0,0,0,0,0,0,0,0
s__Lactobacillus_gasseri,,1.42541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00916,0.00847,0,0,0.00388,0,0,0,0,0,0.04206,0.66208,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91726,5.25262,0.00587,0,45.22881,0,0,0.03595,0,0,0,0,0,0.01872,0,0,0,0,0,0,0,0,0.15386,0.37126,0,0,0,0,0,1.01613,0,0,0,0,0,0,0,0,0,0,0,0.00589,0,0,0,0,0,0,0,52.72729,0,0,4.11604,0,0,0.23701,0,0,0,0,0,0,0,0.97123,0,0,0,0,0.01343,1.85596,0.00588,0,0,0,0,0,0,0,0,0,0,0,0,0.01078,0,0,0,0,0,0
s__Eubacterium_rectale,,1.35179,0.00838,6.52045,0.00946,0.34856,0,5.68197,2.55884,14.58735,2.71021,8.86587,1.06362,2.12199,9.65461,0.01039,18.07339,10.46192,17.26665,0,0.01337,5.4445,0.77716,3.53048,0.01471,5.18057,1.70135,0,4.8606,0.01127,20.93782,15.07373,11.62832,0.02355,0.01307,12.33558,1.61699,0.00648,0.44947,2.54708,0.00688,0.01805,0.01739,0,0.01237,5.07047,0.50773,12.78617,0,9.57966,0.03737,4.6287,2.36459,6.61561,7.23572,10.53264,0.01792,4.91402,2.37332,0.00989,0.39812,0,4.71956,3.10873,10.96977,0.02682,0,0.00363,0.03281,0.80913,16.82733,3.89313,0.04046,0.01724,0.69343,0.40851,0.00967,0.04629,26.24525,0,0,0.50778,4.59836,10.15047,0.25268,0.47415,0.10056,0.01035,0.01601,0,1.4597,4.66655,0.01171,2.79102,0,8.76352,20.06534,0.01142,0.01034,0,24.99978,2.93987,12.89884,14.01901,1.952,7.77563,0.0143,0,0.35153,0.01383,5.2566,0.02966,4.77436,0.03832,0.00899,4.79049,0.41988,0.00903,0,0.58773,0,0.01704,1.28447,11.67156,0,0.05254,0.08604,0.05296,0.69567,0.03241,0.0186,0.01112,0.02853,3.4929,9.65542,0.00502,23.27028,4.13191,0.01476,0.70199,21.04519,9.82212,2.33383,3.31469,4.75965,9.15231,5.93386,14.94115,1.86415,1.14825,0,2.07472,16.63839,0.01823,0.00351
s__Lactobacillus_acidophilus,,1.27967,0,0,0,0.46437,0,0,0.51094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08073,0,0,0,0,0,0,0,0,0,0,0,0.04133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08937,0,0,0.00317,0,0.00074,0,0,0,0,0.03068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73764,0,0,2.28034,0,0,0,0,0.02803,0,0,0,0,0,0,0,0,0,0,0.27492
s__Faecalicatena_fissicatena,,1.2441,0,0.75443,0,0,0,0,1.11964,1.57546,0,0,0,0,0.05239,0,0.14569,0.10768,0.34318,0,0,0,0.34137,0,0,0.24144,0.43512,0,0.37545,0,0,0,0,0,0,0,1.80207,0,0,0,0,0,0,0,0,0,0.01535,0.15924,0,0.00442,0,0,0.33017,0.51327,0,0,0,0,0,0,0.0418,0,1.36605,0,0,0,0,0.20779,0,0,0,0.24654,0,0,0.03213,0,0,0,0,0,0,0.63411,0,0.72716,0.42444,0,0,0,0,0,0.04347,0.30581,0,1.75261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41801,0,0,0,0,0,0,0,0,0,0,0.40849,0,0,0,0,0,0,0,0,0,0.48511,0.19706,0,0.26619,1.10879,0,0.06573,0,0,0,0.06074,0,0.31543,0.06701,0,0.00693,0,0,0
s__Bacteroides_ovatus,,1.11058,0,0.51041,0,0,0,0,0,0.03372,0.19708,1.3599,0.2043,2.49725,7.68903,0.006,14.257,0.25456,0.44559,0,1.54008,0.00278,0.07006,0.15913,8.06472,0,0.54354,0.10293,0,0.42517,2.13978,0.03363,0.62553,0.41931,0.08848,1.55277,2.26034,0,0.00397,0,0,0.03336,0.00332,0.7906,0.5822,0,1.65357,0.09588,0.03983,0.31962,2.56634,0.05669,0,0.62165,0.44386,0,0.07611,0.21368,0.00668,0.59028,1.00932,0.0418,0.50744,0.24998,0.00169,0,0,0.02008,0.14825,0,0.66303,0.00137,0,0.00246,0.05026,1.2842,0.51144,0,0,0,0.01111,0.28172,0.04011,0.21885,0.20452,0.5729,0.07631,2.57203,0,0.6273,0,0.22557,1.4113,0.18036,0.02897,1.78175,0.00474,0,0.00237,19.90381,0.36966,5.66032,0.01462,0.06519,0,0.22132,0.73497,0,0,0,0.07683,0.0032,0,0,0,0,0,0.02632,4.55397,2.12556,3.66189,0.00376,0.00431,0.41157,0,0,2.1592,0.2893,10.61,0.01172,4.84564,0.00251,0,0,0,0,0.11414,0.06928,0.0035,0.22787,0,0.36377,0.64684,0,8.24467,2.01834,0.32998,0,0.02,0.18071,1.78473,0.00307,0,0,0
s__Clostridium_sp_AM49_4BH,,1.09621,0,0.15994,0,0.07249,0,0,0.64815,0,0,0,0,0,0,0,0,0.41614,0,0,0,0,0.08075,0.25556,0,0.47757,0.38224,0,0.39722,0,0,0,0,0,0,0,0.17921,0,0,0,0,0,0,0,0,0,1.37507,0,0,0,0,0.19727,0.01246,0,0.21133,0,0,0,0,0,0,0,0.50378,0.96451,0,0,0,0.41142,0.01356,0,0,0,0,0,0.00065,0,0,0,0.01058,0,0,0.03073,0.14172,0.08538,0.05491,0.00727,0,0,0,0,0,0,0,0.30763,0,0,0,0,0,0,0,0,0,1.35385,0,1.30185,0,0,0,0,0,0,0,0.04609,0,0,0,0,0,0,0,0,0.23234,0.33431,0.17317,0,0.52223,0,0,0,0,0,0,0.35792,0,0,0.01803,0.05204,0,0.17815,0.04451,0,0.00598,0.42618,0,0,0.05225,0,0,0.90116,0,0,0,0,0
s__Bacteroides_uniformis,,1.01174,0,0.78514,0,0.00111,0.5763,1.72882,0.12864,0.83828,0,2.34937,2.3775,12.22579,4.92791,5.01064,0,0.00976,0.94728,0.19046,5.45786,0.00586,2.67299,0.62457,7.00227,2.61526,0.60156,0,0,0.34935,1.89022,0.90386,3.59805,0.40258,0.17047,1.23175,2.01198,0,0,7.87922,0,0.00869,0.00822,5.03363,1.72288,4.18424,3.81777,0.46368,0,0.00547,2.84814,2.07835,0.96552,0,0,10.55721,1.51157,0.39512,0.11627,8.48972,3.16384,31.82476,6.92198,2.01277,0.00618,0,0,1.79927,0.44865,0.51609,2.82819,0.50721,0.01228,0.01046,0.16129,0.41706,1.21992,0.01018,0.0133,0,0,1.40178,1.66524,2.69365,5.48505,0,0.12492,3.62686,0.01909,9.53039,0.43074,0.06017,1.07963,0.29212,0,3.10012,7.82601,0,0.00707,0,0,1.94818,0.06653,1.08213,1.0491,4.00387,0.49453,0,0,0,0.18942,0.01172,0.60176,4.56571,0,5.24825,0.15169,0,8.63941,4.9275,21.91753,0.01222,0.04298,0.5853,0,0,0,0.18769,5.54052,0.02404,0,0.00514,0,0.52188,0.00459,0.00282,0.0069,2.9524,0.00697,0.8462,0.17142,0,1.01182,1.78722,0.00784,1.53354,5.77763,11.55098,0.04013,0.80794,1.0642,1.44789,0.7193,0,0
s__Agathobaculum_butyriciproducens,,0.96465,0,1.07186,0,0.00035,0,0.67443,0,0.93948,0.43975,0.18303,0.19357,0.16683,0.42963,0.71445,0.78843,0.12129,0.61889,0,0,0.36528,0.13278,0.08591,1.73355,0.43856,0.7121,0.74283,0.20946,0.4995,0,0.02618,0.55303,0,0,0.119,0.08971,0.98378,0,0.20886,0,0,0,0.78779,0.29401,1.58295,0.2053,0.05188,0,0.40572,0.24295,0.24589,0.36835,0,0,0.30397,0,1.14367,0.26771,0,0.37054,0,0.3602,0.2632,0,0,0,0.29371,0,0,0.40144,0.3115,0,0,0.28806,0.42784,1.6153,0,0.37874,0,0,0.57655,0.0923,0.17173,0.16021,0.36701,0.6796,0,0,0.14218,0.08558,0.31721,0.95073,0.18219,0,0.31513,0.59314,0,0,0,0,0,0.25675,1.01021,1.55083,0.36751,0.05076,0,0,0,0.43159,0,2.62102,0.21777,0,0.27166,0,0,0.0485,0.00214,0,0,0.08021,0.017,0,0,0.15368,0,0.55815,0,0,0,0,0.04061,0,0,1.048,0.11924,0,0.59079,0.51191,0.36492,0.19795,1.03357,0,0,0.01159,0.27296,0.64428,0.02285,0,0.06541,0,0,0
s__Dorea_formicigenerans,,0.8795,0,0.31628,0,0.57679,0,0.27402,0,0.11457,0.24993,0.60014,0.16408,0.16841,0,0,0.05912,0.32561,0.40011,0.02726,0,0.51718,0.18517,0.14827,0,0.19761,0.12539,0.02213,0.83774,0,0,0.49696,0,0,0.31009,0.2465,0.63735,0,0,0.36758,0,0,0,0,0,0.26221,0.10494,0.6384,1.0785,0.07586,0,0.15336,0.28058,1.45023,0,0.80786,0.0371,0.58588,0.2151,0,0.25112,0,0.30801,0.23772,0,0,0,0.19725,0.08679,0,0,0.62537,0,0,0.11653,1.0871,0,0,0.35732,0,0,0.26718,0.3404,0.2799,0.08541,2.78055,0.95152,0,0,0.07573,0.14586,0.20461,0.11448,0.29444,0,0,0,0.07005,0,0,0,0,2.29787,0.26346,0.8748,0.15061,1.09606,0,0.10559,0,0.38634,0,0.21778,0.09518,0,0,0,0,0,0,0,0,0.77535,1.57978,0,0,0.39736,0,0,0,0,0,0,0.20012,0,0,0.19955,0.62049,0,0.10367,0.58096,0.13651,0.37529,0.12947,0.55669,0.7835,0.18293,0.41036,0.63118,0.28158,0,0.00328,1.46342,0,0
s__Roseburia_inulinivorans,,0.80835,2.21156,0.57439,0,0.54495,0,0.04587,2.25902,0.33961,0.05429,0,0.36353,0.15479,0.02489,0.05125,0.45135,0.11888,1.06559,0.0201,0,0.25496,0.04843,0.05549,0,0.13201,0.36754,0,1.66934,0,0,1.51266,0.01591,0,0,1.53946,2.42176,0,0,0,0,0,0,1.40876,0,0,0.59289,0.55543,0,1.0345,0.08612,0.23052,0.00617,0.14469,3.73906,0.02236,0,0,0,0,0.10641,0,0.29681,0,0,0,0,0.1115,0,0,0,0.03186,0,0,0.4536,0,0.03065,0,0.01221,0,0,3.36309,0.06392,0.03579,0.02829,0,0,0,0,0,0.02864,0.15255,0.00605,1.1887,0,0.27607,0,3.96757,1.96469,0,0,0,0.23102,0.30159,1.8944,0.10168,0,0,0,0,0.11816,0,0.60262,0,0,2.46958,0,0,0,0.00237,0,0,0.45931,0,0,0,0.2155,0,0.29868,10.73521,0,0,0,0.02206,0,0,0.07466,0.01307,0,0.01302,1.5458,0.05863,0.00377,4.51636,0.15778,0,0.15479,0.05293,0.3597,0.00336,0,0.002,0.34707,0,0
s__Fusicatenibacter_saccharivorans,,0.77678,7.50563,0.3182,0.00026,1.07701,0,0.66943,3.05089,3.31546,0.86693,0,0.69926,0.20408,0.43824,0.91007,0.99858,0.54997,0.35156,0.72237,0.0016,2.75947,3.23816,0.0017,0.00172,1.04514,0.82629,0,3.60683,0,1.28142,0.76342,0.39717,0,2.46462,0.72835,4.49703,5.85912,0,2.54079,0,0.00324,0.00294,4.71994,0,0,0.96232,1.95032,5.38961,0.73075,1.77957,1.49223,4.948,1.09766,4.92926,0,0.0009,4.18327,0,0.0005,4.97482,0,4.02969,4.45454,0.00158,0,0,0.94892,2.37187,0,0,0.2678,0,0.0031,0.45219,0,0.50173,0.00421,0.61783,0,0,1.72547,0.6389,5.70475,1.59924,1.22363,0.01601,0,0,0.26164,1.4141,1.22318,3.06705,5.33437,0,0,0.00227,0,0.00153,0,0,0.14242,5.93747,2.65199,2.05706,1.76662,0,0,1.82668,0.82379,0.87168,0.00333,0,0,0,0.45047,0.06494,0.58904,0,0.10066,0,0.00712,5.77798,1.92294,0,0.10027,0.55426,0.00823,0.79328,0.004,0,0.00186,0,0,1.52967,0,2.19366,0.91655,0.00223,0.92381,1.41818,1.83929,0.73561,1.90599,0.00336,0,1.33625,3.03617,2.17869,0.44981,0,6.43835,0,13.6133,0
s__Bacteroides_caccae,,0.77495,0,0.44235,0,0,0,0.15205,0,0,0,0.10717,0.56957,0.00104,0.00205,0.00141,0,0.00067,0.57481,0.06725,3.27836,3.42227,0.42692,0.41047,0.00134,0.15774,0.66128,0,0,0,0.53085,0.06068,0.01905,36.67759,0,0,0.95886,0,0,0.30117,0,0.00047,0.00062,1.74283,0.74984,0,1.15522,0.00033,0,0.00083,0.00124,0.17975,0,0.19845,0,1.71898,0.07179,0,0.32601,1.42871,0.66919,0,0,0.3352,0,0,0,0.09771,0.22626,0,1.23358,0.07213,0.00228,0,0.01937,0,0,0,0,0,0,1.01735,0.45677,0.6052,0.27197,0.20095,0.00198,0,0,0,0.16045,0.06921,0.44998,0.03002,0,2.5608,0,0,0.00019,0,0,0.00111,0.01314,0.24587,0.08518,0.00092,0.45743,0,0,0.98022,0.03684,0,0.05135,0.8969,0,0.31026,0,0,0,0.00152,1.89527,0.00041,0,1.43914,0,0,0,0.00207,0.00116,0.00252,0,0,0,0,0,0,0.00014,1.08109,0.00036,0.0716,0,0.36698,0,0,0.00146,0,0.92068,0,0,0.54291,0,2.62016,0,0,0
s__Gemmiger_formicilis,,0.73179,0,0.69754,0,0.00959,0,0,0,0.53723,0.85667,0.00789,0.00046,1.1313,0.00053,0.05145,0,2.53195,0,0,0,0,0,0,0,0.26281,1.13079,0,1.39435,0,0,0.95829,0,0,0,7.33789,2.32565,0,0,0,0,0.00056,0,0,0,0,0.23955,0.93615,0,0.10691,0,0,0.29414,0,0,0,0,0.21692,0,0,0.05184,0,0.84508,0.20145,0,0,0,0.11457,0,0,0,0,0,0,0.26704,0,4.89679,0,0,0,0,0.03507,0.31775,1.12202,0.05832,0,0.00503,0,0,4.36612,0,0.88886,0,0,0,0,0,0,0,0,0,0.30922,0,0.96624,0,3.61928,0,0,0,0,0.68973,0,0,0,0,0,0,0,0,0,0,0,0.1524,0,0,0,0,0,0,0,0,0.00035,0,0.84634,0,0,1.20521,0,0.00032,0.62405,0,0.16471,0.16368,0,0,0,0.69356,0,0,0.94775,0,0.17681,0.29503,0,0
s__Candidatus_Cibionibacter_quicibialis,,0.68232,0,0.04447,0,0.35729,0,0.26914,0,0.71296,2.56112,0,0.7018,0.00023,0,0.72829,0.05871,1.32351,0,0,0.76663,1.83263,0.33223,0,0,3.27292,0.77831,0,0.32559,0,1.67933,0,0.08754,0,0.79098,0,0.39065,0,0,0.17673,0,0,0,1.3179,0,0.42687,1.31119,0.40725,0,0.26453,0.13517,4.41524,0.89639,3.17897,0,0.36845,0,1.64685,0.18989,0,0.04842,0,0.71285,5.01439,0,0,0,1.64999,0,0,0,4.49173,0,0,0.65735,1.00916,0,0,0,0,0,0.76419,4.2069,4.84279,1.22589,0,0.00571,0,0,0,2.39621,0.10478,0.30575,0.64882,0,0,0,0,0,0,0,0,1.22395,1.17927,0,0,0,0,0,0,0,0,1.12183,1.39118,0,3.7862,0,0,0,0.00085,0,0.00169,2.6512,0,0,0,0,0.00021,0,0.00092,0,0,0,0.48429,0,0,0.76526,1.03445,0,0.35584,0.09405,0,0.74059,2.68823,0,0,0.86964,0,1.63671,0.14278,0,0.02968,3.75657,0,0
